Epoch [34], Step [1/800], Patch [1/6], Loss: 0.0011298059253022075
Epoch [34], Step [1/800], Patch [2/6], Loss: 0.0015026591718196869
Epoch [34], Step [1/800], Patch [3/6], Loss: 0.002903096843510866
Epoch [34], Step [1/800], Patch [4/6], Loss: 0.006295440252870321
Epoch [34], Step [1/800], Patch [5/6], Loss: 0.006539979483932257
Epoch [34], Step [1/800], Patch [6/6], Loss: 0.003199947765097022
Epoch [34], Step [2/800], Patch [1/9], Loss: 0.007930383086204529
Epoch [34], Step [2/800], Patch [2/9], Loss: 0.013222496025264263
Epoch [34], Step [2/800], Patch [3/9], Loss: 0.010106399655342102
Epoch [34], Step [2/800], Patch [4/9], Loss: 0.00809450726956129
Epoch [34], Step [2/800], Patch [5/9], Loss: 0.013269813731312752
Epoch [34], Step [2/800], Patch [6/9], Loss: 0.01287926360964775
Epoch [34], Step [2/800], Patch [7/9], Loss: 0.006793668027967215
Epoch [34], Step [2/800], Patch [8/9], Loss: 0.009404158219695091
Epoch [34], Step [2/800], Patch [9/9], Loss: 0.009417470544576645
Epoch [34], Step [3/800], Patch [1/6], Loss: 0.002423468977212906
Epoch [34], Step [3/800], Patch [2/6], Loss: 0.004308348521590233
Epoch [34], Step [3/800], Patch [3/6], Loss: 0.01138808112591505
Epoch [34], Step [3/800], Patch [4/6], Loss: 0.011143672280013561
Epoch [34], Step [3/800], Patch [5/6], Loss: 0.01832185499370098
Epoch [34], Step [3/800], Patch [6/6], Loss: 0.009475327096879482
Epoch [34], Step [4/800], Patch [1/6], Loss: 0.010117136873304844
Epoch [34], Step [4/800], Patch [2/6], Loss: 0.006524042692035437
Epoch [34], Step [4/800], Patch [3/6], Loss: 0.008383220992982388
Epoch [34], Step [4/800], Patch [4/6], Loss: 0.00908671785145998
Epoch [34], Step [4/800], Patch [5/6], Loss: 0.008301972411572933
Epoch [34], Step [4/800], Patch [6/6], Loss: 0.009377050213515759
Epoch [34], Step [5/800], Patch [1/6], Loss: 0.0012096751015633345
Epoch [34], Step [5/800], Patch [2/6], Loss: 0.002726874779909849
Epoch [34], Step [5/800], Patch [3/6], Loss: 0.0036161052994430065
Epoch [34], Step [5/800], Patch [4/6], Loss: 0.0025064232759177685
Epoch [34], Step [5/800], Patch [5/6], Loss: 0.011365879327058792
Epoch [34], Step [5/800], Patch [6/6], Loss: 0.02357834205031395
Epoch [34], Step [6/800], Patch [1/6], Loss: 0.008322983048856258
Epoch [34], Step [6/800], Patch [2/6], Loss: 0.006931033916771412
Epoch [34], Step [6/800], Patch [3/6], Loss: 0.009928299114108086
Epoch [34], Step [6/800], Patch [4/6], Loss: 0.011320373974740505
Epoch [34], Step [6/800], Patch [5/6], Loss: 0.008774077519774437
Epoch [34], Step [6/800], Patch [6/6], Loss: 0.009471029043197632
Epoch [34], Step [7/800], Patch [1/9], Loss: 0.002921433886513114
Epoch [34], Step [7/800], Patch [2/9], Loss: 0.008738713338971138
Epoch [34], Step [7/800], Patch [3/9], Loss: 0.009909003041684628
Epoch [34], Step [7/800], Patch [4/9], Loss: 0.01080230250954628
Epoch [34], Step [7/800], Patch [5/9], Loss: 0.02091907523572445
Epoch [34], Step [7/800], Patch [6/9], Loss: 0.021314099431037903
Epoch [34], Step [7/800], Patch [7/9], Loss: 0.009678833186626434
Epoch [34], Step [7/800], Patch [8/9], Loss: 0.02363358438014984
Epoch [34], Step [7/800], Patch [9/9], Loss: 0.023129548877477646
Epoch [34], Step [8/800], Patch [1/6], Loss: 0.0015570282703265548
Epoch [34], Step [8/800], Patch [2/6], Loss: 0.003323747543618083
Epoch [34], Step [8/800], Patch [3/6], Loss: 0.0035353973507881165
Epoch [34], Step [8/800], Patch [4/6], Loss: 0.007107462268322706
Epoch [34], Step [8/800], Patch [5/6], Loss: 0.0092475526034832
Epoch [34], Step [8/800], Patch [6/6], Loss: 0.00876925140619278
Epoch [34], Step [9/800], Patch [1/6], Loss: 0.005396903958171606
Epoch [34], Step [9/800], Patch [2/6], Loss: 0.005889651365578175
Epoch [34], Step [9/800], Patch [3/6], Loss: 0.004512676037847996
Epoch [34], Step [9/800], Patch [4/6], Loss: 0.007209528237581253
Epoch [34], Step [9/800], Patch [5/6], Loss: 0.008567603304982185
Epoch [34], Step [9/800], Patch [6/6], Loss: 0.009430046193301678
Epoch [34], Step [10/800], Patch [1/6], Loss: 0.003902634372934699
Epoch [34], Step [10/800], Patch [2/6], Loss: 0.0023684019688516855
Epoch [34], Step [10/800], Patch [3/6], Loss: 0.0037441300228238106
Epoch [34], Step [10/800], Patch [4/6], Loss: 0.0025936979800462723
Epoch [34], Step [10/800], Patch [5/6], Loss: 0.0035694874823093414
Epoch [34], Step [10/800], Patch [6/6], Loss: 0.00448872335255146
Epoch [34], Step [11/800], Patch [1/6], Loss: 0.0044403993524611
Epoch [34], Step [11/800], Patch [2/6], Loss: 0.005177883896976709
Epoch [34], Step [11/800], Patch [3/6], Loss: 0.007069788873195648
Epoch [34], Step [11/800], Patch [4/6], Loss: 0.009777269326150417
Epoch [34], Step [11/800], Patch [5/6], Loss: 0.0035539630334824324
Epoch [34], Step [11/800], Patch [6/6], Loss: 0.009198246523737907
Epoch [34], Step [12/800], Patch [1/6], Loss: 0.005276890005916357
Epoch [34], Step [12/800], Patch [2/6], Loss: 0.006498529575765133
Epoch [34], Step [12/800], Patch [3/6], Loss: 0.006323873996734619
Epoch [34], Step [12/800], Patch [4/6], Loss: 0.005449370946735144
Epoch [34], Step [12/800], Patch [5/6], Loss: 0.0042364345863461494
Epoch [34], Step [12/800], Patch [6/6], Loss: 0.003814822994172573
Epoch [34], Step [13/800], Patch [1/6], Loss: 0.005515359342098236
Epoch [34], Step [13/800], Patch [2/6], Loss: 0.0086615439504385
Epoch [34], Step [13/800], Patch [3/6], Loss: 0.011984906159341335
