Epoch [54], Step [1/120], Patch [1/6], SIDD Loss: 0.0003765220462810248, DIV2K Loss: 0.0012169581605121493
Epoch [54], Step [1/120], Patch [2/6], SIDD Loss: 0.0004388950183056295, DIV2K Loss: 0.0003844809252768755
Epoch [54], Step [1/120], Patch [3/6], SIDD Loss: 0.00034410360967740417, DIV2K Loss: 0.0005144276656210423
Epoch [54], Step [1/120], Patch [4/6], SIDD Loss: 0.0025290045887231827, DIV2K Loss: 0.0025058810133486986
Epoch [54], Step [1/120], Patch [5/6], SIDD Loss: 0.002261021640151739, DIV2K Loss: 0.0017037130892276764
Epoch [54], Step [1/120], Patch [6/6], SIDD Loss: 0.0002684977080207318, DIV2K Loss: 0.0063181607984006405
Epoch [54], Step [2/120], Patch [1/6], SIDD Loss: 0.00013796021812595427, DIV2K Loss: 0.01576833985745907
Epoch [54], Step [2/120], Patch [2/6], SIDD Loss: 8.767253893893212e-05, DIV2K Loss: 0.015273667871952057
Epoch [54], Step [2/120], Patch [3/6], SIDD Loss: 9.244583634426817e-05, DIV2K Loss: 0.0073759774677455425
Epoch [54], Step [2/120], Patch [4/6], SIDD Loss: 0.0001731171942083165, DIV2K Loss: 0.012831076979637146
Epoch [54], Step [2/120], Patch [5/6], SIDD Loss: 0.00016910512931644917, DIV2K Loss: 0.016864676028490067
Epoch [54], Step [2/120], Patch [6/6], SIDD Loss: 8.375270408578217e-05, DIV2K Loss: 0.01756388321518898
Epoch [54], Step [3/120], Patch [1/6], SIDD Loss: 0.00013766149641014636, DIV2K Loss: 0.007948542945086956
Epoch [54], Step [3/120], Patch [2/6], SIDD Loss: 0.0001052094012266025, DIV2K Loss: 0.010384387336671352
Epoch [54], Step [3/120], Patch [3/6], SIDD Loss: 9.549979586154222e-05, DIV2K Loss: 0.010222931392490864
Epoch [54], Step [3/120], Patch [4/6], SIDD Loss: 0.00011069038737332448, DIV2K Loss: 0.0241401344537735
Epoch [54], Step [3/120], Patch [5/6], SIDD Loss: 0.00013434751599561423, DIV2K Loss: 0.023043503984808922
Epoch [54], Step [3/120], Patch [6/6], SIDD Loss: 0.00010215191286988556, DIV2K Loss: 0.010421644896268845
Epoch [54], Step [4/120], Patch [1/6], SIDD Loss: 6.138702156022191e-05, DIV2K Loss: 0.002234938321635127
Epoch [54], Step [4/120], Patch [2/6], SIDD Loss: 8.059332321863621e-05, DIV2K Loss: 0.0006678974605165422
Epoch [54], Step [4/120], Patch [3/6], SIDD Loss: 4.181540498393588e-05, DIV2K Loss: 0.0007656741654500365
Epoch [54], Step [4/120], Patch [4/6], SIDD Loss: 0.00018113407713826746, DIV2K Loss: 0.004476652946323156
Epoch [54], Step [4/120], Patch [5/6], SIDD Loss: 3.0079419957473874e-05, DIV2K Loss: 0.004547503776848316
Epoch [54], Step [4/120], Patch [6/6], SIDD Loss: 3.5054352338192984e-05, DIV2K Loss: 0.003474024822935462
Epoch [54], Step [5/120], Patch [1/6], SIDD Loss: 5.545881504076533e-05, DIV2K Loss: 0.0053115165792405605
Epoch [54], Step [5/120], Patch [2/6], SIDD Loss: 6.639325147261843e-05, DIV2K Loss: 0.003993381280452013
Epoch [54], Step [5/120], Patch [3/6], SIDD Loss: 5.540008351090364e-05, DIV2K Loss: 0.011028419248759747
Epoch [54], Step [5/120], Patch [4/6], SIDD Loss: 3.783031934290193e-05, DIV2K Loss: 0.00935208797454834
Epoch [54], Step [5/120], Patch [5/6], SIDD Loss: 5.754532685386948e-05, DIV2K Loss: 0.008263371884822845
Epoch [54], Step [5/120], Patch [6/6], SIDD Loss: 3.79591656383127e-05, DIV2K Loss: 0.004266928881406784
Epoch [54], Step [6/120], Patch [1/3], SIDD Loss: 7.11916436557658e-05, DIV2K Loss: 0.01156267337501049
Epoch [54], Step [6/120], Patch [2/3], SIDD Loss: 0.0002141958975698799, DIV2K Loss: 0.011314308270812035
