Epoch [67], Step [1/120], Patch [1/6], SIDD Loss: 5.0995695346500725e-05, DIV2K Loss: 0.0010881650960072875
Epoch [67], Step [1/120], Patch [2/6], SIDD Loss: 7.191846816567704e-05, DIV2K Loss: 0.0022234481293708086
Epoch [67], Step [1/120], Patch [3/6], SIDD Loss: 7.376947905868292e-05, DIV2K Loss: 0.005264025181531906
Epoch [67], Step [1/120], Patch [4/6], SIDD Loss: 2.1625577574013732e-05, DIV2K Loss: 0.003005790989845991
Epoch [67], Step [1/120], Patch [5/6], SIDD Loss: 5.300462362356484e-05, DIV2K Loss: 0.009518006816506386
Epoch [67], Step [1/120], Patch [6/6], SIDD Loss: 4.9004836910171434e-05, DIV2K Loss: 0.013550832867622375
Epoch [67], Step [2/120], Patch [1/6], SIDD Loss: 4.399951285449788e-05, DIV2K Loss: 0.008178533986210823
Epoch [67], Step [2/120], Patch [2/6], SIDD Loss: 4.759267540066503e-05, DIV2K Loss: 0.007416888605803251
Epoch [67], Step [2/120], Patch [3/6], SIDD Loss: 3.083008050452918e-05, DIV2K Loss: 0.01133086159825325
Epoch [67], Step [2/120], Patch [4/6], SIDD Loss: 3.458170613157563e-05, DIV2K Loss: 0.0012137333396822214
Epoch [67], Step [2/120], Patch [5/6], SIDD Loss: 1.953215542016551e-05, DIV2K Loss: 0.006117729470133781
Epoch [67], Step [2/120], Patch [6/6], SIDD Loss: 6.562381167896092e-05, DIV2K Loss: 0.005137102212756872
Epoch [67], Step [3/120], Patch [1/6], SIDD Loss: 6.733245390933007e-05, DIV2K Loss: 0.010332134552299976
Epoch [67], Step [3/120], Patch [2/6], SIDD Loss: 0.00011036992509616539, DIV2K Loss: 0.02343428134918213
Epoch [67], Step [3/120], Patch [3/6], SIDD Loss: 8.568621706217527e-05, DIV2K Loss: 0.024052023887634277
Epoch [67], Step [3/120], Patch [4/6], SIDD Loss: 0.0001177381636807695, DIV2K Loss: 0.01566799357533455
Epoch [67], Step [3/120], Patch [5/6], SIDD Loss: 8.431943570030853e-05, DIV2K Loss: 0.028339531272649765
Epoch [67], Step [3/120], Patch [6/6], SIDD Loss: 7.114281470421702e-05, DIV2K Loss: 0.031059030443429947
Epoch [67], Step [4/120], Patch [1/6], SIDD Loss: 5.633494583889842e-05, DIV2K Loss: 0.0016729810740798712
Epoch [67], Step [4/120], Patch [2/6], SIDD Loss: 9.526834764983505e-05, DIV2K Loss: 0.0018615061417222023
Epoch [67], Step [4/120], Patch [3/6], SIDD Loss: 9.430516365682706e-05, DIV2K Loss: 0.006201035343110561
Epoch [67], Step [4/120], Patch [4/6], SIDD Loss: 6.691263115499169e-05, DIV2K Loss: 0.003346565878018737
Epoch [67], Step [4/120], Patch [5/6], SIDD Loss: 7.406544318655506e-05, DIV2K Loss: 0.005889427848160267
Epoch [67], Step [4/120], Patch [6/6], SIDD Loss: 0.00020306026272010058, DIV2K Loss: 0.001697382191196084
Epoch [67], Step [5/120], Patch [1/6], SIDD Loss: 3.729650779860094e-05, DIV2K Loss: 0.024112612009048462
Epoch [67], Step [5/120], Patch [2/6], SIDD Loss: 2.219812995463144e-05, DIV2K Loss: 0.0203228946775198
Epoch [67], Step [5/120], Patch [3/6], SIDD Loss: 6.785586447222158e-05, DIV2K Loss: 0.023928871378302574
Epoch [67], Step [5/120], Patch [4/6], SIDD Loss: 4.843485658057034e-05, DIV2K Loss: 0.013102974742650986
Epoch [67], Step [5/120], Patch [5/6], SIDD Loss: 2.9610218916786835e-05, DIV2K Loss: 0.01587379351258278
Epoch [67], Step [5/120], Patch [6/6], SIDD Loss: 2.5642046239227057e-05, DIV2K Loss: 0.016228536143898964
Epoch [67], Step [6/120], Patch [1/6], SIDD Loss: 9.59650642471388e-05, DIV2K Loss: 0.00048629334196448326
Epoch [67], Step [6/120], Patch [2/6], SIDD Loss: 8.625305781606585e-05, DIV2K Loss: 0.0009894376853480935
Epoch [67], Step [6/120], Patch [3/6], SIDD Loss: 0.0001828594831749797, DIV2K Loss: 0.0010343845933675766
Epoch [67], Step [6/120], Patch [4/6], SIDD Loss: 0.00013855702127330005, DIV2K Loss: 0.002646099543198943
Epoch [67], Step [6/120], Patch [5/6], SIDD Loss: 0.0001257324911421165, DIV2K Loss: 0.0024346443824470043
Epoch [67], Step [6/120], Patch [6/6], SIDD Loss: 0.0001306838821619749, DIV2K Loss: 0.002680570352822542
Epoch [67], Step [7/120], Patch [1/9], SIDD Loss: 9.472871897742152e-05, DIV2K Loss: 0.004533293191343546
Epoch [67], Step [7/120], Patch [2/9], SIDD Loss: 8.871768659446388e-05, DIV2K Loss: 0.0027220582123845816
Epoch [67], Step [7/120], Patch [3/9], SIDD Loss: 8.431608875980601e-05, DIV2K Loss: 0.0031067929230630398
Epoch [67], Step [7/120], Patch [4/9], SIDD Loss: 7.701073627686128e-05, DIV2K Loss: 0.007540264632552862
Epoch [67], Step [7/120], Patch [5/9], SIDD Loss: 8.678404265083373e-05, DIV2K Loss: 0.003908080980181694
Epoch [67], Step [7/120], Patch [6/9], SIDD Loss: 7.690003258176148e-05, DIV2K Loss: 0.005770849995315075
Epoch [67], Step [7/120], Patch [7/9], SIDD Loss: 9.388560283696279e-05, DIV2K Loss: 0.011084174737334251
Epoch [67], Step [7/120], Patch [8/9], SIDD Loss: 9.315224451711401e-05, DIV2K Loss: 0.009758494794368744
Epoch [67], Step [7/120], Patch [9/9], SIDD Loss: 7.31775799067691e-05, DIV2K Loss: 0.0075547536835074425
Epoch [67], Step [8/120], Patch [1/6], SIDD Loss: 5.0829763495130464e-05, DIV2K Loss: 0.000192236082511954
Epoch [67], Step [8/120], Patch [2/6], SIDD Loss: 0.00020540901459753513, DIV2K Loss: 0.0011354926973581314
Epoch [67], Step [8/120], Patch [3/6], SIDD Loss: 0.00022959720809012651, DIV2K Loss: 9.580800542607903e-05
Epoch [67], Step [8/120], Patch [4/6], SIDD Loss: 5.473651981446892e-05, DIV2K Loss: 0.00156045937910676
Epoch [67], Step [8/120], Patch [5/6], SIDD Loss: 5.804681859444827e-05, DIV2K Loss: 0.022050311788916588
Epoch [67], Step [8/120], Patch [6/6], SIDD Loss: 0.00017275175196118653, DIV2K Loss: 0.00014672437100671232
Epoch [67], Step [9/120], Patch [1/6], SIDD Loss: 6.90749438945204e-05, DIV2K Loss: 0.00488843210041523
Epoch [67], Step [9/120], Patch [2/6], SIDD Loss: 6.661473889835179e-05, DIV2K Loss: 0.003799335565418005
Epoch [67], Step [9/120], Patch [3/6], SIDD Loss: 6.505608325824142e-05, DIV2K Loss: 0.0069113485515117645
Epoch [67], Step [9/120], Patch [4/6], SIDD Loss: 5.996424442855641e-05, DIV2K Loss: 0.006517780479043722
Epoch [67], Step [9/120], Patch [5/6], SIDD Loss: 4.43578464910388e-05, DIV2K Loss: 0.0041641900315880775
Epoch [67], Step [9/120], Patch [6/6], SIDD Loss: 4.637187157641165e-05, DIV2K Loss: 0.004139964934438467
Epoch [67], Step [10/120], Patch [1/6], SIDD Loss: 8.382549276575446e-05, DIV2K Loss: 0.009729795157909393
Epoch [67], Step [10/120], Patch [2/6], SIDD Loss: 8.978797995951027e-05, DIV2K Loss: 0.005833740346133709
Epoch [67], Step [10/120], Patch [3/6], SIDD Loss: 7.905413076514378e-05, DIV2K Loss: 0.007327588275074959
Epoch [67], Step [10/120], Patch [4/6], SIDD Loss: 6.07875372224953e-05, DIV2K Loss: 0.005243219435214996
Epoch [67], Step [10/120], Patch [5/6], SIDD Loss: 9.247048001270741e-05, DIV2K Loss: 0.004725064150989056
Epoch [67], Step [10/120], Patch [6/6], SIDD Loss: 6.039342770236544e-05, DIV2K Loss: 0.007419526111334562
Epoch [67], Step [11/120], Patch [1/9], SIDD Loss: 0.0001178168022306636, DIV2K Loss: 0.0010504457168281078
Epoch [67], Step [11/120], Patch [2/9], SIDD Loss: 0.0001292652013944462, DIV2K Loss: 0.00046075385762378573
Epoch [67], Step [11/120], Patch [3/9], SIDD Loss: 0.0001225838641403243, DIV2K Loss: 0.003159279702231288
Epoch [67], Step [11/120], Patch [4/9], SIDD Loss: 0.00020694054546765983, DIV2K Loss: 0.00022123477538116276
Epoch [67], Step [11/120], Patch [5/9], SIDD Loss: 0.00015382343553937972, DIV2K Loss: 0.0007893225993029773
Epoch [67], Step [11/120], Patch [6/9], SIDD Loss: 0.00015890713257249445, DIV2K Loss: 0.002887047827243805
Epoch [67], Step [11/120], Patch [7/9], SIDD Loss: 0.0001463571097701788, DIV2K Loss: 0.0001116033672587946
Epoch [67], Step [11/120], Patch [8/9], SIDD Loss: 0.000186996185220778, DIV2K Loss: 0.0012798868119716644
Epoch [67], Step [11/120], Patch [9/9], SIDD Loss: 0.0001111524470616132, DIV2K Loss: 0.002216789871454239
Epoch [67], Step [12/120], Patch [1/6], SIDD Loss: 3.775857112486847e-05, DIV2K Loss: 0.00602870574221015
Epoch [67], Step [12/120], Patch [2/6], SIDD Loss: 0.0001688474731054157, DIV2K Loss: 0.003142410423606634
Epoch [67], Step [12/120], Patch [3/6], SIDD Loss: 6.11001014476642e-05, DIV2K Loss: 0.0025699902325868607
Epoch [67], Step [12/120], Patch [4/6], SIDD Loss: 4.815614011022262e-05, DIV2K Loss: 0.002486108336597681
Epoch [67], Step [12/120], Patch [5/6], SIDD Loss: 4.471218562684953e-05, DIV2K Loss: 0.005369899328798056
Epoch [67], Step [12/120], Patch [6/6], SIDD Loss: 5.387652709032409e-05, DIV2K Loss: 0.005952793173491955
Epoch [67], Step [13/120], Patch [1/6], SIDD Loss: 0.00011128389451187104, DIV2K Loss: 0.005320771597325802
Epoch [67], Step [13/120], Patch [2/6], SIDD Loss: 9.911786764860153e-05, DIV2K Loss: 0.002776946872472763
Epoch [67], Step [13/120], Patch [3/6], SIDD Loss: 8.094144868664443e-05, DIV2K Loss: 0.002431310247629881
Epoch [67], Step [13/120], Patch [4/6], SIDD Loss: 0.00010097468475578353, DIV2K Loss: 0.013231518678367138
Epoch [67], Step [13/120], Patch [5/6], SIDD Loss: 9.137260349234566e-05, DIV2K Loss: 0.006619535386562347
Epoch [67], Step [13/120], Patch [6/6], SIDD Loss: 0.00011326779349474236, DIV2K Loss: 0.00524419080466032
Epoch [67], Step [14/120], Patch [1/6], SIDD Loss: 0.00011865193664561957, DIV2K Loss: 0.0009659858769737184
Epoch [67], Step [14/120], Patch [2/6], SIDD Loss: 9.959300223272294e-05, DIV2K Loss: 0.0022468632087111473
Epoch [67], Step [14/120], Patch [3/6], SIDD Loss: 0.00020222939201630652, DIV2K Loss: 0.0006195291061885655
Epoch [67], Step [14/120], Patch [4/6], SIDD Loss: 0.00011890052701346576, DIV2K Loss: 0.003216944169253111
Epoch [67], Step [14/120], Patch [5/6], SIDD Loss: 0.00010036489402409643, DIV2K Loss: 0.014740432612597942
Epoch [67], Step [14/120], Patch [6/6], SIDD Loss: 0.0008281258633360267, DIV2K Loss: 0.01965983584523201
Epoch [67], Step [15/120], Patch [1/6], SIDD Loss: 4.845737566938624e-05, DIV2K Loss: 0.0027197180315852165
