Epoch [40], Step [1/800], Patch [1/6], Loss: 0.006681308150291443
Epoch [40], Step [1/800], Patch [2/6], Loss: 0.005386678501963615
Epoch [40], Step [1/800], Patch [3/6], Loss: 0.004786040633916855
Epoch [40], Step [1/800], Patch [4/6], Loss: 0.0038501787930727005
Epoch [40], Step [1/800], Patch [5/6], Loss: 0.010341335088014603
Epoch [40], Step [1/800], Patch [6/6], Loss: 0.005713817663490772
Epoch [40], Step [2/800], Patch [1/6], Loss: 0.0047599272802472115
Epoch [40], Step [2/800], Patch [2/6], Loss: 0.0064640529453754425
Epoch [40], Step [2/800], Patch [3/6], Loss: 0.00479443185031414
Epoch [40], Step [2/800], Patch [4/6], Loss: 0.004102266859263182
Epoch [40], Step [2/800], Patch [5/6], Loss: 0.003959334921091795
Epoch [40], Step [2/800], Patch [6/6], Loss: 0.004090684931725264
Epoch [40], Step [3/800], Patch [1/6], Loss: 0.010535009205341339
Epoch [40], Step [3/800], Patch [2/6], Loss: 0.014607694000005722
Epoch [40], Step [3/800], Patch [3/6], Loss: 0.011199695989489555
Epoch [40], Step [3/800], Patch [4/6], Loss: 0.009196357801556587
Epoch [40], Step [3/800], Patch [5/6], Loss: 0.011381661519408226
Epoch [40], Step [3/800], Patch [6/6], Loss: 0.009047875180840492
Epoch [40], Step [4/800], Patch [1/6], Loss: 0.009073021821677685
Epoch [40], Step [4/800], Patch [2/6], Loss: 0.006700783036649227
Epoch [40], Step [4/800], Patch [3/6], Loss: 0.0029431022703647614
Epoch [40], Step [4/800], Patch [4/6], Loss: 0.017165599390864372
Epoch [40], Step [4/800], Patch [5/6], Loss: 0.010001713410019875
Epoch [40], Step [4/800], Patch [6/6], Loss: 0.0027303071692585945
Epoch [40], Step [5/800], Patch [1/6], Loss: 0.0008617116836830974
Epoch [40], Step [5/800], Patch [2/6], Loss: 0.0016085440292954445
Epoch [40], Step [5/800], Patch [3/6], Loss: 0.000701098470017314
Epoch [40], Step [5/800], Patch [4/6], Loss: 0.0013644001446664333
Epoch [40], Step [5/800], Patch [5/6], Loss: 0.003136744722723961
Epoch [40], Step [5/800], Patch [6/6], Loss: 0.0006626194808632135
Epoch [40], Step [6/800], Patch [1/6], Loss: 0.009085074067115784
Epoch [40], Step [6/800], Patch [2/6], Loss: 0.008489252999424934
Epoch [40], Step [6/800], Patch [3/6], Loss: 0.012151598930358887
Epoch [40], Step [6/800], Patch [4/6], Loss: 0.0019331644289195538
Epoch [40], Step [6/800], Patch [5/6], Loss: 0.00705204252153635
Epoch [40], Step [6/800], Patch [6/6], Loss: 0.005751907825469971
Epoch [40], Step [7/800], Patch [1/6], Loss: 0.005947429221123457
Epoch [40], Step [7/800], Patch [2/6], Loss: 0.005391518585383892
Epoch [40], Step [7/800], Patch [3/6], Loss: 0.005774799734354019
Epoch [40], Step [7/800], Patch [4/6], Loss: 0.007800798863172531
Epoch [40], Step [7/800], Patch [5/6], Loss: 0.008920419029891491
Epoch [40], Step [7/800], Patch [6/6], Loss: 0.01018922682851553
Epoch [40], Step [8/800], Patch [1/6], Loss: 0.018117524683475494
Epoch [40], Step [8/800], Patch [2/6], Loss: 0.012096423655748367
Epoch [40], Step [8/800], Patch [3/6], Loss: 0.012818457558751106
Epoch [40], Step [8/800], Patch [4/6], Loss: 0.010461605153977871
Epoch [40], Step [8/800], Patch [5/6], Loss: 0.013619957491755486
Epoch [40], Step [8/800], Patch [6/6], Loss: 0.013984931632876396
Epoch [40], Step [9/800], Patch [1/6], Loss: 0.037308692932128906
Epoch [40], Step [9/800], Patch [2/6], Loss: 0.02905113995075226
Epoch [40], Step [9/800], Patch [3/6], Loss: 0.019770214334130287
Epoch [40], Step [9/800], Patch [4/6], Loss: 0.012175453826785088
Epoch [40], Step [9/800], Patch [5/6], Loss: 0.009084190241992474
Epoch [40], Step [9/800], Patch [6/6], Loss: 0.012346109375357628
Epoch [40], Step [10/800], Patch [1/6], Loss: 0.004755628295242786
Epoch [40], Step [10/800], Patch [2/6], Loss: 0.007401939481496811
Epoch [40], Step [10/800], Patch [3/6], Loss: 0.007375492714345455
Epoch [40], Step [10/800], Patch [4/6], Loss: 0.011507449671626091
Epoch [40], Step [10/800], Patch [5/6], Loss: 0.00890764407813549
Epoch [40], Step [10/800], Patch [6/6], Loss: 0.0074143181554973125
Epoch [40], Step [11/800], Patch [1/6], Loss: 0.001746676629409194
Epoch [40], Step [11/800], Patch [2/6], Loss: 0.007703931536525488
Epoch [40], Step [11/800], Patch [3/6], Loss: 0.00457473611459136
Epoch [40], Step [11/800], Patch [4/6], Loss: 0.0033762517850846052
Epoch [40], Step [11/800], Patch [5/6], Loss: 0.01207677274942398
Epoch [40], Step [11/800], Patch [6/6], Loss: 0.004723362624645233
Epoch [40], Step [12/800], Patch [1/6], Loss: 0.006340178661048412
Epoch [40], Step [12/800], Patch [2/6], Loss: 0.0055198073387146
Epoch [40], Step [12/800], Patch [3/6], Loss: 0.005261030979454517
Epoch [40], Step [12/800], Patch [4/6], Loss: 0.010979387909173965
Epoch [40], Step [12/800], Patch [5/6], Loss: 0.01287846826016903
Epoch [40], Step [12/800], Patch [6/6], Loss: 0.008544035255908966
Epoch [40], Step [13/800], Patch [1/6], Loss: 0.0019191427854821086
Epoch [40], Step [13/800], Patch [2/6], Loss: 0.0017621915321797132
Epoch [40], Step [13/800], Patch [3/6], Loss: 0.001383336610160768
Epoch [40], Step [13/800], Patch [4/6], Loss: 0.00817431416362524
Epoch [40], Step [13/800], Patch [5/6], Loss: 0.007601169869303703
Epoch [40], Step [13/800], Patch [6/6], Loss: 0.008788996376097202
Epoch [40], Step [14/800], Patch [1/6], Loss: 0.012082390487194061
Epoch [40], Step [14/800], Patch [2/6], Loss: 0.004409979097545147
Epoch [40], Step [14/800], Patch [3/6], Loss: 0.009089656174182892
Epoch [40], Step [14/800], Patch [4/6], Loss: 0.0058877840638160706
Epoch [40], Step [14/800], Patch [5/6], Loss: 0.008203376084566116
Epoch [40], Step [14/800], Patch [6/6], Loss: 0.015119059011340141
Epoch [40], Step [15/800], Patch [1/6], Loss: 0.0008067555027082562
Epoch [40], Step [15/800], Patch [2/6], Loss: 0.0006279033841565251
Epoch [40], Step [15/800], Patch [3/6], Loss: 0.004519034177064896
Epoch [40], Step [15/800], Patch [4/6], Loss: 0.0043288408778607845
Epoch [40], Step [15/800], Patch [5/6], Loss: 0.00882713869214058
Epoch [40], Step [15/800], Patch [6/6], Loss: 0.016248371452093124
Epoch [40], Step [16/800], Patch [1/6], Loss: 0.0037221580278128386
Epoch [40], Step [16/800], Patch [2/6], Loss: 0.0033362237736582756
Epoch [40], Step [16/800], Patch [3/6], Loss: 0.0030781286768615246
Epoch [40], Step [16/800], Patch [4/6], Loss: 0.013261126354336739
Epoch [40], Step [16/800], Patch [5/6], Loss: 0.020601404830813408
Epoch [40], Step [16/800], Patch [6/6], Loss: 0.004115881398320198
Epoch [40], Step [17/800], Patch [1/6], Loss: 0.002018860774114728
Epoch [40], Step [17/800], Patch [2/6], Loss: 0.002912673633545637
Epoch [40], Step [17/800], Patch [3/6], Loss: 0.0037050144746899605
Epoch [40], Step [17/800], Patch [4/6], Loss: 0.0012792255729436874
Epoch [40], Step [17/800], Patch [5/6], Loss: 0.0025066984817385674
Epoch [40], Step [17/800], Patch [6/6], Loss: 0.002463908866047859
Epoch [40], Step [18/800], Patch [1/6], Loss: 0.0027306261472404003
Epoch [40], Step [18/800], Patch [2/6], Loss: 0.003914003726094961
Epoch [40], Step [18/800], Patch [3/6], Loss: 0.004813221748918295
Epoch [40], Step [18/800], Patch [4/6], Loss: 0.0029443991370499134
Epoch [40], Step [18/800], Patch [5/6], Loss: 0.01343101542443037
Epoch [40], Step [18/800], Patch [6/6], Loss: 0.012014958076179028
Epoch [40], Step [19/800], Patch [1/6], Loss: 0.004884215537458658
Epoch [40], Step [19/800], Patch [2/6], Loss: 0.006335392594337463
Epoch [40], Step [19/800], Patch [3/6], Loss: 0.00465435441583395
Epoch [40], Step [19/800], Patch [4/6], Loss: 0.00964481569826603
Epoch [40], Step [19/800], Patch [5/6], Loss: 0.011603033170104027
Epoch [40], Step [19/800], Patch [6/6], Loss: 0.012922026216983795
Epoch [40], Step [20/800], Patch [1/6], Loss: 0.017925068736076355
Epoch [40], Step [20/800], Patch [2/6], Loss: 0.02916521392762661
Epoch [40], Step [20/800], Patch [3/6], Loss: 0.02481766790151596
Epoch [40], Step [20/800], Patch [4/6], Loss: 0.01853914000093937
Epoch [40], Step [20/800], Patch [5/6], Loss: 0.028913423418998718
Epoch [40], Step [20/800], Patch [6/6], Loss: 0.02783372811973095
Epoch [40], Step [21/800], Patch [1/6], Loss: 0.005305184051394463
Epoch [40], Step [21/800], Patch [2/6], Loss: 0.0059287408366799355
Epoch [40], Step [21/800], Patch [3/6], Loss: 0.003426775336265564
Epoch [40], Step [21/800], Patch [4/6], Loss: 0.005374890752136707
Epoch [40], Step [21/800], Patch [5/6], Loss: 0.004691247828304768
Epoch [40], Step [21/800], Patch [6/6], Loss: 0.005068193189799786
Epoch [40], Step [22/800], Patch [1/6], Loss: 0.0023600724525749683
Epoch [40], Step [22/800], Patch [2/6], Loss: 0.0023813240695744753
Epoch [40], Step [22/800], Patch [3/6], Loss: 0.002877606777474284
Epoch [40], Step [22/800], Patch [4/6], Loss: 0.00265964912250638
