Epoch [58], Step [1/120], Patch [1/6], SIDD Loss: 0.000274672987870872, DIV2K Loss: 0.0008736206218600273
Epoch [58], Step [1/120], Patch [2/6], SIDD Loss: 0.00017697096336632967, DIV2K Loss: 0.0024018781259655952
Epoch [58], Step [1/120], Patch [3/6], SIDD Loss: 7.439202454406768e-05, DIV2K Loss: 0.003154442645609379
Epoch [58], Step [1/120], Patch [4/6], SIDD Loss: 0.0001857314200606197, DIV2K Loss: 0.00466102035716176
Epoch [58], Step [1/120], Patch [5/6], SIDD Loss: 5.272085400065407e-05, DIV2K Loss: 0.00907156802713871
Epoch [58], Step [1/120], Patch [6/6], SIDD Loss: 0.00013526076509151608, DIV2K Loss: 0.006890667136758566
Epoch [58], Step [2/120], Patch [1/6], SIDD Loss: 6.730362656526268e-05, DIV2K Loss: 0.002909512259066105
Epoch [58], Step [2/120], Patch [2/6], SIDD Loss: 5.949384649284184e-05, DIV2K Loss: 0.003130183322355151
Epoch [58], Step [2/120], Patch [3/6], SIDD Loss: 6.586464587599039e-05, DIV2K Loss: 0.005070911720395088
Epoch [58], Step [2/120], Patch [4/6], SIDD Loss: 9.545022476231679e-05, DIV2K Loss: 0.007475906517356634
Epoch [58], Step [2/120], Patch [5/6], SIDD Loss: 6.084520282456651e-05, DIV2K Loss: 0.012947248294949532
Epoch [58], Step [2/120], Patch [6/6], SIDD Loss: 5.8229077694704756e-05, DIV2K Loss: 0.01014753058552742
Epoch [58], Step [3/120], Patch [1/6], SIDD Loss: 0.00011067703599110246, DIV2K Loss: 0.005708282347768545
Epoch [58], Step [3/120], Patch [2/6], SIDD Loss: 9.46640720940195e-05, DIV2K Loss: 0.0012748574372380972
Epoch [58], Step [3/120], Patch [3/6], SIDD Loss: 7.302645099116489e-05, DIV2K Loss: 0.0013415643479675055
Epoch [58], Step [3/120], Patch [4/6], SIDD Loss: 8.4915358456783e-05, DIV2K Loss: 0.010114847682416439
Epoch [58], Step [3/120], Patch [5/6], SIDD Loss: 0.00014089953037910163, DIV2K Loss: 0.0053639463149011135
Epoch [58], Step [3/120], Patch [6/6], SIDD Loss: 8.127489854814485e-05, DIV2K Loss: 0.0037980671040713787
Epoch [58], Step [4/120], Patch [1/6], SIDD Loss: 0.0001829944521887228, DIV2K Loss: 0.004041963256895542
Epoch [58], Step [4/120], Patch [2/6], SIDD Loss: 0.00048161501763388515, DIV2K Loss: 0.005180147476494312
Epoch [58], Step [4/120], Patch [3/6], SIDD Loss: 0.00022309173073153943, DIV2K Loss: 0.007103392388671637
Epoch [58], Step [4/120], Patch [4/6], SIDD Loss: 0.00029605109011754394, DIV2K Loss: 0.008277787826955318
Epoch [58], Step [4/120], Patch [5/6], SIDD Loss: 0.0002551015932112932, DIV2K Loss: 0.00811147689819336
Epoch [58], Step [4/120], Patch [6/6], SIDD Loss: 0.0002532330108806491, DIV2K Loss: 0.010408440604805946
Epoch [58], Step [5/120], Patch [1/6], SIDD Loss: 4.074074240634218e-05, DIV2K Loss: 0.009500866755843163
Epoch [58], Step [5/120], Patch [2/6], SIDD Loss: 5.463571142172441e-05, DIV2K Loss: 0.010961411520838737
Epoch [58], Step [5/120], Patch [3/6], SIDD Loss: 5.513120777322911e-05, DIV2K Loss: 0.013177759945392609
Epoch [58], Step [5/120], Patch [4/6], SIDD Loss: 4.815541615244001e-05, DIV2K Loss: 0.009533550590276718
Epoch [58], Step [5/120], Patch [5/6], SIDD Loss: 3.05091652990086e-05, DIV2K Loss: 0.008618387393653393
Epoch [58], Step [5/120], Patch [6/6], SIDD Loss: 2.5127636035904288e-05, DIV2K Loss: 0.007555361837148666
Epoch [58], Step [6/120], Patch [1/6], SIDD Loss: 2.5284149160142988e-05, DIV2K Loss: 0.00270918570458889
Epoch [58], Step [6/120], Patch [2/6], SIDD Loss: 6.172785651870072e-05, DIV2K Loss: 0.0053921411745250225
Epoch [58], Step [6/120], Patch [3/6], SIDD Loss: 3.628959530033171e-05, DIV2K Loss: 0.0057189688086509705
