Epoch [49], Step [1/120], Patch [1/6], SIDD Loss: 0.00018762607942335308, DIV2K Loss: 0.019492559134960175
Epoch [49], Step [1/120], Patch [2/6], SIDD Loss: 6.849231431260705e-05, DIV2K Loss: 0.017010942101478577
Epoch [49], Step [1/120], Patch [3/6], SIDD Loss: 0.00014265664503909647, DIV2K Loss: 0.02143726497888565
Epoch [49], Step [1/120], Patch [4/6], SIDD Loss: 4.9974623834714293e-05, DIV2K Loss: 0.011117561720311642
Epoch [49], Step [1/120], Patch [5/6], SIDD Loss: 5.306618913891725e-05, DIV2K Loss: 0.0139625770971179
Epoch [49], Step [1/120], Patch [6/6], SIDD Loss: 5.8961955801350996e-05, DIV2K Loss: 0.015216978266835213
Epoch [49], Step [2/120], Patch [1/6], SIDD Loss: 6.852842489024624e-05, DIV2K Loss: 0.011955088004469872
Epoch [49], Step [2/120], Patch [2/6], SIDD Loss: 0.00017302585183642805, DIV2K Loss: 0.01643030159175396
Epoch [49], Step [2/120], Patch [3/6], SIDD Loss: 4.64101140096318e-05, DIV2K Loss: 0.015860453248023987
Epoch [49], Step [2/120], Patch [4/6], SIDD Loss: 0.00010253670916426927, DIV2K Loss: 0.012582196854054928
Epoch [49], Step [2/120], Patch [5/6], SIDD Loss: 0.00012998998863622546, DIV2K Loss: 0.015229208394885063
Epoch [49], Step [2/120], Patch [6/6], SIDD Loss: 0.00010612126061460003, DIV2K Loss: 0.014484993182122707
Epoch [49], Step [3/120], Patch [1/6], SIDD Loss: 7.498546619899571e-05, DIV2K Loss: 0.006710227578878403
Epoch [49], Step [3/120], Patch [2/6], SIDD Loss: 3.752052361960523e-05, DIV2K Loss: 0.004659374710172415
Epoch [49], Step [3/120], Patch [3/6], SIDD Loss: 2.385033258178737e-05, DIV2K Loss: 0.004910928662866354
Epoch [49], Step [3/120], Patch [4/6], SIDD Loss: 3.686135096359067e-05, DIV2K Loss: 0.00401371531188488
Epoch [49], Step [3/120], Patch [5/6], SIDD Loss: 6.718024087604135e-05, DIV2K Loss: 0.004347954411059618
Epoch [49], Step [3/120], Patch [6/6], SIDD Loss: 6.696206401102245e-05, DIV2K Loss: 0.00624040886759758
Epoch [49], Step [4/120], Patch [1/6], SIDD Loss: 3.917139838449657e-05, DIV2K Loss: 0.004816018044948578
Epoch [49], Step [4/120], Patch [2/6], SIDD Loss: 4.138401709496975e-05, DIV2K Loss: 0.004918992519378662
Epoch [49], Step [4/120], Patch [3/6], SIDD Loss: 2.7658865292323753e-05, DIV2K Loss: 0.012765727005898952
Epoch [49], Step [4/120], Patch [4/6], SIDD Loss: 3.5504064726410434e-05, DIV2K Loss: 0.0076178088784217834
Epoch [49], Step [4/120], Patch [5/6], SIDD Loss: 5.508654794539325e-05, DIV2K Loss: 0.0069580115377902985
Epoch [49], Step [4/120], Patch [6/6], SIDD Loss: 4.09511812904384e-05, DIV2K Loss: 0.012901460751891136
Epoch [49], Step [5/120], Patch [1/9], SIDD Loss: 0.0001223687722813338, DIV2K Loss: 0.005432470701634884
Epoch [49], Step [5/120], Patch [2/9], SIDD Loss: 0.0001060362410498783, DIV2K Loss: 0.004061978310346603
Epoch [49], Step [5/120], Patch [3/9], SIDD Loss: 0.00010257758549414575, DIV2K Loss: 0.002873143879696727
Epoch [49], Step [5/120], Patch [4/9], SIDD Loss: 7.841516344342381e-05, DIV2K Loss: 0.005024055019021034
Epoch [49], Step [5/120], Patch [5/9], SIDD Loss: 7.540654041804373e-05, DIV2K Loss: 0.004100415389984846
Epoch [49], Step [5/120], Patch [6/9], SIDD Loss: 0.00010217784438282251, DIV2K Loss: 0.0019449809333309531
Epoch [49], Step [5/120], Patch [7/9], SIDD Loss: 8.418141806032509e-05, DIV2K Loss: 0.0051094600930809975
Epoch [49], Step [5/120], Patch [8/9], SIDD Loss: 8.458025695290416e-05, DIV2K Loss: 0.003999725449830294
Epoch [49], Step [5/120], Patch [9/9], SIDD Loss: 8.390644507016987e-05, DIV2K Loss: 0.0016892871353775263
Epoch [49], Step [6/120], Patch [1/6], SIDD Loss: 0.0001246961619472131, DIV2K Loss: 0.0019257362000644207
Epoch [49], Step [6/120], Patch [2/6], SIDD Loss: 0.0001588654558872804, DIV2K Loss: 0.005938493646681309
Epoch [49], Step [6/120], Patch [3/6], SIDD Loss: 0.0002487280871719122, DIV2K Loss: 0.006139556877315044
Epoch [49], Step [6/120], Patch [4/6], SIDD Loss: 6.082317850086838e-05, DIV2K Loss: 0.0019376343116164207
Epoch [49], Step [6/120], Patch [5/6], SIDD Loss: 0.0001106980926124379, DIV2K Loss: 0.0018001588759943843
Epoch [49], Step [6/120], Patch [6/6], SIDD Loss: 0.00012673296441789716, DIV2K Loss: 0.0009245773544535041
Epoch [49], Step [7/120], Patch [1/6], SIDD Loss: 0.00010260542330797762, DIV2K Loss: 0.002017331775277853
Epoch [49], Step [7/120], Patch [2/6], SIDD Loss: 9.306053834734485e-05, DIV2K Loss: 0.0018248148262500763
Epoch [49], Step [7/120], Patch [3/6], SIDD Loss: 0.00019822298781946301, DIV2K Loss: 0.003569436725229025
Epoch [49], Step [7/120], Patch [4/6], SIDD Loss: 0.00010995376942446455, DIV2K Loss: 0.00207466259598732
Epoch [49], Step [7/120], Patch [5/6], SIDD Loss: 8.78211430972442e-05, DIV2K Loss: 0.006175903137773275
Epoch [49], Step [7/120], Patch [6/6], SIDD Loss: 0.00015148126112762839, DIV2K Loss: 0.009867815300822258
Epoch [49], Step [8/120], Patch [1/6], SIDD Loss: 0.00010433362331241369, DIV2K Loss: 0.0015915019903331995
Epoch [49], Step [8/120], Patch [2/6], SIDD Loss: 0.00010705702879931778, DIV2K Loss: 0.0026633855886757374
Epoch [49], Step [8/120], Patch [3/6], SIDD Loss: 8.246273500844836e-05, DIV2K Loss: 0.0006776868831366301
Epoch [49], Step [8/120], Patch [4/6], SIDD Loss: 8.712115231901407e-05, DIV2K Loss: 0.002592732198536396
Epoch [49], Step [8/120], Patch [5/6], SIDD Loss: 9.955320274457335e-05, DIV2K Loss: 0.020100340247154236
Epoch [49], Step [8/120], Patch [6/6], SIDD Loss: 9.091675019590184e-05, DIV2K Loss: 0.0236198753118515
Epoch [49], Step [9/120], Patch [1/6], SIDD Loss: 0.00019150557636749, DIV2K Loss: 0.0004880536289419979
Epoch [49], Step [9/120], Patch [2/6], SIDD Loss: 0.0001998124353121966, DIV2K Loss: 0.0013444324722513556
Epoch [49], Step [9/120], Patch [3/6], SIDD Loss: 0.00017168978229165077, DIV2K Loss: 0.00016051280545070767
Epoch [49], Step [9/120], Patch [4/6], SIDD Loss: 0.00017409209976904094, DIV2K Loss: 0.001682058908045292
Epoch [49], Step [9/120], Patch [5/6], SIDD Loss: 0.00012954820704180747, DIV2K Loss: 0.022272929549217224
Epoch [49], Step [9/120], Patch [6/6], SIDD Loss: 0.00019835468265227973, DIV2K Loss: 0.0002885357243940234
Epoch [49], Step [10/120], Patch [1/9], SIDD Loss: 0.0005947704776190221, DIV2K Loss: 0.01436617411673069
Epoch [49], Step [10/120], Patch [2/9], SIDD Loss: 0.0005156052066013217, DIV2K Loss: 0.021225925534963608
Epoch [49], Step [10/120], Patch [3/9], SIDD Loss: 0.0003354211803525686, DIV2K Loss: 0.02930004894733429
Epoch [49], Step [10/120], Patch [4/9], SIDD Loss: 0.0004894408048130572, DIV2K Loss: 0.014652240090072155
Epoch [49], Step [10/120], Patch [5/9], SIDD Loss: 0.0004658228426706046, DIV2K Loss: 0.03156796470284462
Epoch [49], Step [10/120], Patch [6/9], SIDD Loss: 0.0005331721040420234, DIV2K Loss: 0.03785499185323715
Epoch [49], Step [10/120], Patch [7/9], SIDD Loss: 0.000459199829492718, DIV2K Loss: 0.010340606793761253
Epoch [49], Step [10/120], Patch [8/9], SIDD Loss: 0.0004726066254079342, DIV2K Loss: 0.017342647537589073
Epoch [49], Step [10/120], Patch [9/9], SIDD Loss: 0.0004007138195447624, DIV2K Loss: 0.020789414644241333
Epoch [49], Step [11/120], Patch [1/6], SIDD Loss: 0.00017794582527130842, DIV2K Loss: 0.0013196499785408378
Epoch [49], Step [11/120], Patch [2/6], SIDD Loss: 8.027891453821212e-05, DIV2K Loss: 0.0018289030995219946
Epoch [49], Step [11/120], Patch [3/6], SIDD Loss: 7.456392631866038e-05, DIV2K Loss: 0.005134614650160074
Epoch [49], Step [11/120], Patch [4/6], SIDD Loss: 0.00013184561976231635, DIV2K Loss: 0.002647336572408676
Epoch [49], Step [11/120], Patch [5/6], SIDD Loss: 5.536548269446939e-05, DIV2K Loss: 0.004286539740860462
Epoch [49], Step [11/120], Patch [6/6], SIDD Loss: 5.6500284699723125e-05, DIV2K Loss: 0.004225132055580616
Epoch [49], Step [12/120], Patch [1/6], SIDD Loss: 6.221324292710051e-05, DIV2K Loss: 0.007158811669796705
Epoch [49], Step [12/120], Patch [2/6], SIDD Loss: 9.933108231052756e-05, DIV2K Loss: 0.007893016561865807
Epoch [49], Step [12/120], Patch [3/6], SIDD Loss: 0.00012364849681034684, DIV2K Loss: 0.009435676969587803
Epoch [49], Step [12/120], Patch [4/6], SIDD Loss: 4.0349939808947966e-05, DIV2K Loss: 0.011400921270251274
Epoch [49], Step [12/120], Patch [5/6], SIDD Loss: 5.117031832924113e-05, DIV2K Loss: 0.010340278036892414
Epoch [49], Step [12/120], Patch [6/6], SIDD Loss: 4.8959627747535706e-05, DIV2K Loss: 0.012941179797053337
Epoch [49], Step [13/120], Patch [1/6], SIDD Loss: 0.00010039203334599733, DIV2K Loss: 0.0018096560379490256
Epoch [49], Step [13/120], Patch [2/6], SIDD Loss: 8.055240323301405e-05, DIV2K Loss: 0.0027268980629742146
Epoch [49], Step [13/120], Patch [3/6], SIDD Loss: 6.507999205496162e-05, DIV2K Loss: 0.002620113780722022
Epoch [49], Step [13/120], Patch [4/6], SIDD Loss: 6.16642864770256e-05, DIV2K Loss: 0.004761296324431896
Epoch [49], Step [13/120], Patch [5/6], SIDD Loss: 0.00015438970876857638, DIV2K Loss: 0.0023447980638593435
Epoch [49], Step [13/120], Patch [6/6], SIDD Loss: 5.694925494026393e-05, DIV2K Loss: 0.0043009622022509575
Epoch [49], Step [14/120], Patch [1/6], SIDD Loss: 0.00011113220534753054, DIV2K Loss: 0.0055251047015190125
Epoch [49], Step [14/120], Patch [2/6], SIDD Loss: 0.00013044537627138197, DIV2K Loss: 0.00465585058555007
Epoch [49], Step [14/120], Patch [3/6], SIDD Loss: 0.00012718091602437198, DIV2K Loss: 0.007031193934381008
Epoch [49], Step [14/120], Patch [4/6], SIDD Loss: 0.00010705395834520459, DIV2K Loss: 0.0009235944598913193
Epoch [49], Step [14/120], Patch [5/6], SIDD Loss: 0.0001196852681459859, DIV2K Loss: 0.0035537127405405045
Epoch [49], Step [14/120], Patch [6/6], SIDD Loss: 0.00012041311128996313, DIV2K Loss: 0.003022187389433384
Epoch [49], Step [15/120], Patch [1/6], SIDD Loss: 8.028467709664255e-05, DIV2K Loss: 0.0009693143656477332
Epoch [49], Step [15/120], Patch [2/6], SIDD Loss: 0.00011799293861258775, DIV2K Loss: 0.003039912786334753
Epoch [49], Step [15/120], Patch [3/6], SIDD Loss: 0.00014749802357982844, DIV2K Loss: 0.00512249581515789
Epoch [49], Step [15/120], Patch [4/6], SIDD Loss: 7.958618516568094e-05, DIV2K Loss: 0.005480858497321606
Epoch [49], Step [15/120], Patch [5/6], SIDD Loss: 2.4360646420973353e-05, DIV2K Loss: 0.013414926826953888
Epoch [49], Step [15/120], Patch [6/6], SIDD Loss: 6.072164251236245e-05, DIV2K Loss: 0.010680336505174637
Epoch [49], Step [16/120], Patch [1/6], SIDD Loss: 0.000863325665704906, DIV2K Loss: 0.0010378010338172317
Epoch [49], Step [16/120], Patch [2/6], SIDD Loss: 0.0006255962653085589, DIV2K Loss: 0.00542187225073576
Epoch [49], Step [16/120], Patch [3/6], SIDD Loss: 0.0003205962711945176, DIV2K Loss: 0.005163838155567646
Epoch [49], Step [16/120], Patch [4/6], SIDD Loss: 0.00038171777850948274, DIV2K Loss: 0.011416788212954998
Epoch [49], Step [16/120], Patch [5/6], SIDD Loss: 0.0027553304098546505, DIV2K Loss: 0.022807419300079346
Epoch [49], Step [16/120], Patch [6/6], SIDD Loss: 0.0003288334119133651, DIV2K Loss: 0.018443306908011436
Epoch [49], Step [17/120], Patch [1/6], SIDD Loss: 0.00011992264626314864, DIV2K Loss: 0.0015171979321166873
Epoch [49], Step [17/120], Patch [2/6], SIDD Loss: 0.00021069959620945156, DIV2K Loss: 0.00471217418089509
Epoch [49], Step [17/120], Patch [3/6], SIDD Loss: 9.359813702758402e-05, DIV2K Loss: 0.0031800742726773024
Epoch [49], Step [17/120], Patch [4/6], SIDD Loss: 0.00012323414557613432, DIV2K Loss: 0.0049149999395012856
Epoch [49], Step [17/120], Patch [5/6], SIDD Loss: 0.0001184841021313332, DIV2K Loss: 0.005528196692466736
Epoch [49], Step [17/120], Patch [6/6], SIDD Loss: 0.00015849858755245805, DIV2K Loss: 0.004888120573014021
Epoch [49], Step [18/120], Patch [1/6], SIDD Loss: 0.00029682787135243416, DIV2K Loss: 0.004112754948437214
Epoch [49], Step [18/120], Patch [2/6], SIDD Loss: 0.00012420052371453494, DIV2K Loss: 0.001988466363400221
Epoch [49], Step [18/120], Patch [3/6], SIDD Loss: 0.00024033963563852012, DIV2K Loss: 0.0018123079789802432
Epoch [49], Step [18/120], Patch [4/6], SIDD Loss: 0.0001328206417383626, DIV2K Loss: 0.011652490124106407
Epoch [49], Step [18/120], Patch [5/6], SIDD Loss: 0.00016633683117106557, DIV2K Loss: 0.01052943430840969
Epoch [49], Step [18/120], Patch [6/6], SIDD Loss: 9.140744077740237e-05, DIV2K Loss: 0.00779652688652277
Epoch [49], Step [19/120], Patch [1/3], SIDD Loss: 0.0003793087671510875, DIV2K Loss: 0.01152332779020071
Epoch [49], Step [19/120], Patch [2/3], SIDD Loss: 0.0002407275460427627, DIV2K Loss: 0.012224433943629265
Epoch [49], Step [19/120], Patch [3/3], SIDD Loss: 0.0003688182623591274, DIV2K Loss: 0.01741008460521698
Epoch [49], Step [20/120], Patch [1/9], SIDD Loss: 7.162396650528535e-05, DIV2K Loss: 0.0002563241287134588
Epoch [49], Step [20/120], Patch [2/9], SIDD Loss: 0.00010496184404473752, DIV2K Loss: 0.0003317787777632475
Epoch [49], Step [20/120], Patch [3/9], SIDD Loss: 9.11726601771079e-05, DIV2K Loss: 0.003112365026026964
Epoch [49], Step [20/120], Patch [4/9], SIDD Loss: 0.00011119408736703917, DIV2K Loss: 0.00012139089812990278
Epoch [49], Step [20/120], Patch [5/9], SIDD Loss: 0.00020645516633521765, DIV2K Loss: 0.0005814668256789446
Epoch [49], Step [20/120], Patch [6/9], SIDD Loss: 5.091389175504446e-05, DIV2K Loss: 0.0027081749867647886
Epoch [49], Step [20/120], Patch [7/9], SIDD Loss: 7.436772284563631e-05, DIV2K Loss: 0.00012238993076607585
Epoch [49], Step [20/120], Patch [8/9], SIDD Loss: 0.0001217166063725017, DIV2K Loss: 0.0013652471825480461
Epoch [49], Step [20/120], Patch [9/9], SIDD Loss: 8.401890227105469e-05, DIV2K Loss: 0.0022457358427345753
Epoch [49], SIDD Epoch Loss: 0.00017364079767503426, DIV2K Epoch Loss: 0.007656949381958435
Epoch [49], Step [21/120], Patch [1/6], SIDD Loss: 9.602100908523425e-05, DIV2K Loss: 0.004259246867150068
Epoch [49], Step [21/120], Patch [2/6], SIDD Loss: 9.960953320842236e-05, DIV2K Loss: 0.0038756101857870817
Epoch [49], Step [21/120], Patch [3/6], SIDD Loss: 7.26938305888325e-05, DIV2K Loss: 0.0028888180386275053
Epoch [49], Step [21/120], Patch [4/6], SIDD Loss: 0.0002545267343521118, DIV2K Loss: 0.002899064216762781
Epoch [49], Step [21/120], Patch [5/6], SIDD Loss: 0.00012587159289978445, DIV2K Loss: 0.0068114339374005795
Epoch [49], Step [21/120], Patch [6/6], SIDD Loss: 0.0001037608235492371, DIV2K Loss: 0.004801397677510977
Epoch [49], Step [22/120], Patch [1/6], SIDD Loss: 9.038580174092203e-05, DIV2K Loss: 0.0011634929105639458
Epoch [49], Step [22/120], Patch [2/6], SIDD Loss: 0.0001960904337465763, DIV2K Loss: 0.0010861832415685058
Epoch [49], Step [22/120], Patch [3/6], SIDD Loss: 8.484898717142642e-05, DIV2K Loss: 0.0008772580185905099
Epoch [49], Step [22/120], Patch [4/6], SIDD Loss: 7.47415324440226e-05, DIV2K Loss: 0.0053871492855250835
Epoch [49], Step [22/120], Patch [5/6], SIDD Loss: 0.0001479150087106973, DIV2K Loss: 0.004953276365995407
Epoch [49], Step [22/120], Patch [6/6], SIDD Loss: 6.386821041814983e-05, DIV2K Loss: 0.005548087880015373
Epoch [49], Step [23/120], Patch [1/9], SIDD Loss: 0.00016540537762921304, DIV2K Loss: 0.0021026404574513435
Epoch [49], Step [23/120], Patch [2/9], SIDD Loss: 0.00013892452989239246, DIV2K Loss: 0.003146288450807333
Epoch [49], Step [23/120], Patch [3/9], SIDD Loss: 0.00011005883425241336, DIV2K Loss: 0.0040102386847138405
Epoch [49], Step [23/120], Patch [4/9], SIDD Loss: 9.518842853140086e-05, DIV2K Loss: 0.005962574854493141
Epoch [49], Step [23/120], Patch [5/9], SIDD Loss: 9.622654033591971e-05, DIV2K Loss: 0.006090806797146797
Epoch [49], Step [23/120], Patch [6/9], SIDD Loss: 0.0001102815949707292, DIV2K Loss: 0.006748513784259558
Epoch [49], Step [23/120], Patch [7/9], SIDD Loss: 9.838907135417685e-05, DIV2K Loss: 0.0008638709550723433
Epoch [49], Step [23/120], Patch [8/9], SIDD Loss: 0.0001477417245041579, DIV2K Loss: 0.0024674900341778994
Epoch [49], Step [23/120], Patch [9/9], SIDD Loss: 8.720657206140459e-05, DIV2K Loss: 0.002060685772448778
Epoch [49], Step [24/120], Patch [1/6], SIDD Loss: 4.792389154317789e-05, DIV2K Loss: 0.006508886348456144
Epoch [49], Step [24/120], Patch [2/6], SIDD Loss: 6.3122613937594e-05, DIV2K Loss: 0.004723637830466032
Epoch [49], Step [24/120], Patch [3/6], SIDD Loss: 3.8898182538105175e-05, DIV2K Loss: 0.005578485783189535
Epoch [49], Step [24/120], Patch [4/6], SIDD Loss: 5.554014933295548e-05, DIV2K Loss: 0.004299887455999851
Epoch [49], Step [24/120], Patch [5/6], SIDD Loss: 6.223579111974686e-05, DIV2K Loss: 0.0043435124680399895
Epoch [49], Step [24/120], Patch [6/6], SIDD Loss: 6.123200000729412e-05, DIV2K Loss: 0.004885680042207241
Epoch [49], Step [25/120], Patch [1/6], SIDD Loss: 0.00019449657702352852, DIV2K Loss: 0.006054304074496031
Epoch [49], Step [25/120], Patch [2/6], SIDD Loss: 0.00010864046635106206, DIV2K Loss: 0.005463199224323034
Epoch [49], Step [25/120], Patch [3/6], SIDD Loss: 0.00011571747018024325, DIV2K Loss: 0.0047034043818712234
Epoch [49], Step [25/120], Patch [4/6], SIDD Loss: 0.00010152314644074067, DIV2K Loss: 0.004766570404171944
Epoch [49], Step [25/120], Patch [5/6], SIDD Loss: 0.00011223132605664432, DIV2K Loss: 0.005826407112181187
Epoch [49], Step [25/120], Patch [6/6], SIDD Loss: 0.00013759121065959334, DIV2K Loss: 0.005416019819676876
Epoch [49], Step [26/120], Patch [1/6], SIDD Loss: 0.00019411246466916054, DIV2K Loss: 0.008598125539720058
Epoch [49], Step [26/120], Patch [2/6], SIDD Loss: 0.0001312852546107024, DIV2K Loss: 0.00676977401599288
Epoch [49], Step [26/120], Patch [3/6], SIDD Loss: 0.00017060386016964912, DIV2K Loss: 0.006485875695943832
Epoch [49], Step [26/120], Patch [4/6], SIDD Loss: 0.00015452486695721745, DIV2K Loss: 0.009310144931077957
Epoch [49], Step [26/120], Patch [5/6], SIDD Loss: 6.142949860077351e-05, DIV2K Loss: 0.00960869062691927
Epoch [49], Step [26/120], Patch [6/6], SIDD Loss: 7.314786489587277e-05, DIV2K Loss: 0.006712893955409527
Epoch [49], Step [27/120], Patch [1/6], SIDD Loss: 0.0009879062417894602, DIV2K Loss: 0.008027292788028717
Epoch [49], Step [27/120], Patch [2/6], SIDD Loss: 0.001406645285896957, DIV2K Loss: 0.006489468272775412
Epoch [49], Step [27/120], Patch [3/6], SIDD Loss: 0.0007430142723023891, DIV2K Loss: 0.005170588847249746
Epoch [49], Step [27/120], Patch [4/6], SIDD Loss: 0.0007792149554006755, DIV2K Loss: 0.01322813332080841
Epoch [49], Step [27/120], Patch [5/6], SIDD Loss: 0.0010502159129828215, DIV2K Loss: 0.018585000187158585
Epoch [49], Step [27/120], Patch [6/6], SIDD Loss: 0.0005755950696766376, DIV2K Loss: 0.01642579957842827
Epoch [49], Step [28/120], Patch [1/6], SIDD Loss: 0.0003512132680043578, DIV2K Loss: 0.006590956822037697
Epoch [49], Step [28/120], Patch [2/6], SIDD Loss: 0.0002247445227112621, DIV2K Loss: 0.0055787330493330956
Epoch [49], Step [28/120], Patch [3/6], SIDD Loss: 0.0001676331739872694, DIV2K Loss: 0.003922710195183754
Epoch [49], Step [28/120], Patch [4/6], SIDD Loss: 0.00012666864495258778, DIV2K Loss: 0.014692275784909725
Epoch [49], Step [28/120], Patch [5/6], SIDD Loss: 0.00016964980750344694, DIV2K Loss: 0.018183287233114243
Epoch [49], Step [28/120], Patch [6/6], SIDD Loss: 0.00015482769231311977, DIV2K Loss: 0.017729684710502625
Epoch [49], Step [29/120], Patch [1/6], SIDD Loss: 0.000111182096588891, DIV2K Loss: 0.006982774939388037
Epoch [49], Step [29/120], Patch [2/6], SIDD Loss: 0.0001032405998557806, DIV2K Loss: 0.004434132017195225
Epoch [49], Step [29/120], Patch [3/6], SIDD Loss: 9.006561595015228e-05, DIV2K Loss: 0.002374958014115691
Epoch [49], Step [29/120], Patch [4/6], SIDD Loss: 8.315511513501406e-05, DIV2K Loss: 0.00352816516533494
Epoch [49], Step [29/120], Patch [5/6], SIDD Loss: 7.887202082201838e-05, DIV2K Loss: 0.006771775893867016
Epoch [49], Step [29/120], Patch [6/6], SIDD Loss: 9.607708489056677e-05, DIV2K Loss: 0.008860752917826176
Epoch [49], Step [30/120], Patch [1/6], SIDD Loss: 0.0006342645501717925, DIV2K Loss: 0.01237497478723526
Epoch [49], Step [30/120], Patch [2/6], SIDD Loss: 0.0004805265343748033, DIV2K Loss: 0.015201607719063759
Epoch [49], Step [30/120], Patch [3/6], SIDD Loss: 0.0004788125806953758, DIV2K Loss: 0.011366679333150387
Epoch [49], Step [30/120], Patch [4/6], SIDD Loss: 0.0004321847518440336, DIV2K Loss: 0.010233325883746147
Epoch [49], Step [30/120], Patch [5/6], SIDD Loss: 0.0003229344729334116, DIV2K Loss: 0.009273375384509563
Epoch [49], Step [30/120], Patch [6/6], SIDD Loss: 0.000541576009709388, DIV2K Loss: 0.00790907721966505
Epoch [49], Step [31/120], Patch [1/9], SIDD Loss: 0.0004112327005714178, DIV2K Loss: 0.004635428078472614
Epoch [49], Step [31/120], Patch [2/9], SIDD Loss: 0.0011321099009364843, DIV2K Loss: 0.003459272440522909
Epoch [49], Step [31/120], Patch [3/9], SIDD Loss: 0.00015775015344843268, DIV2K Loss: 0.002018923405557871
Epoch [49], Step [31/120], Patch [4/9], SIDD Loss: 0.00012141959450673312, DIV2K Loss: 0.0059966957196593285
Epoch [49], Step [31/120], Patch [5/9], SIDD Loss: 0.0001008160033961758, DIV2K Loss: 0.006714171729981899
Epoch [49], Step [31/120], Patch [6/9], SIDD Loss: 0.0007681371062062681, DIV2K Loss: 0.0068679554387927055
Epoch [49], Step [31/120], Patch [7/9], SIDD Loss: 0.00017687170475255698, DIV2K Loss: 0.0032379115000367165
Epoch [49], Step [31/120], Patch [8/9], SIDD Loss: 0.00010904231749009341, DIV2K Loss: 0.007034452632069588
Epoch [49], Step [31/120], Patch [9/9], SIDD Loss: 0.00010797969298437238, DIV2K Loss: 0.008812825195491314
Epoch [49], Step [32/120], Patch [1/6], SIDD Loss: 0.00036131392698735, DIV2K Loss: 0.006645160727202892
Epoch [49], Step [32/120], Patch [2/6], SIDD Loss: 0.00013844817294739187, DIV2K Loss: 0.003665071912109852
