Epoch [64], Step [1/120], Patch [1/6], SIDD Loss: 9.127790690399706e-05, DIV2K Loss: 0.0006901175947859883
Epoch [64], Step [1/120], Patch [2/6], SIDD Loss: 0.00011786686081904918, DIV2K Loss: 0.0010677488753572106
Epoch [64], Step [1/120], Patch [3/6], SIDD Loss: 7.964882388478145e-05, DIV2K Loss: 0.00016243761638179421
Epoch [64], Step [1/120], Patch [4/6], SIDD Loss: 0.00010511648724786937, DIV2K Loss: 0.0016081620706245303
Epoch [64], Step [1/120], Patch [5/6], SIDD Loss: 0.000157506437972188, DIV2K Loss: 0.018354300409555435
Epoch [64], Step [1/120], Patch [6/6], SIDD Loss: 0.00022129752323962748, DIV2K Loss: 0.00020803534425795078
Epoch [64], Step [2/120], Patch [1/9], SIDD Loss: 4.220290429657325e-05, DIV2K Loss: 0.004168400075286627
Epoch [64], Step [2/120], Patch [2/9], SIDD Loss: 5.0325335905654356e-05, DIV2K Loss: 0.005454055033624172
Epoch [64], Step [2/120], Patch [3/9], SIDD Loss: 5.196239726501517e-05, DIV2K Loss: 0.0033803628757596016
Epoch [64], Step [2/120], Patch [4/9], SIDD Loss: 6.467547791544348e-05, DIV2K Loss: 0.00594734214246273
Epoch [64], Step [2/120], Patch [5/9], SIDD Loss: 5.710626282962039e-05, DIV2K Loss: 0.006199754774570465
Epoch [64], Step [2/120], Patch [6/9], SIDD Loss: 6.964381464058533e-05, DIV2K Loss: 0.010505552403628826
Epoch [64], Step [2/120], Patch [7/9], SIDD Loss: 3.678274879348464e-05, DIV2K Loss: 0.007429392542690039
Epoch [64], Step [2/120], Patch [8/9], SIDD Loss: 3.6912151699652895e-05, DIV2K Loss: 0.009583055041730404
Epoch [64], Step [2/120], Patch [9/9], SIDD Loss: 5.0270937208551913e-05, DIV2K Loss: 0.006513555999845266
Epoch [64], Step [3/120], Patch [1/6], SIDD Loss: 3.314785863040015e-05, DIV2K Loss: 0.007484309375286102
Epoch [64], Step [3/120], Patch [2/6], SIDD Loss: 4.301941953599453e-05, DIV2K Loss: 0.011879591271281242
Epoch [64], Step [3/120], Patch [3/6], SIDD Loss: 3.107349039055407e-05, DIV2K Loss: 0.01299034059047699
Epoch [64], Step [3/120], Patch [4/6], SIDD Loss: 2.9866749173379503e-05, DIV2K Loss: 0.0110016455873847
Epoch [64], Step [3/120], Patch [5/6], SIDD Loss: 3.420565917622298e-05, DIV2K Loss: 0.007251998409628868
Epoch [64], Step [3/120], Patch [6/6], SIDD Loss: 3.568027386791073e-05, DIV2K Loss: 0.007755119353532791
Epoch [64], Step [4/120], Patch [1/6], SIDD Loss: 0.0002239719615317881, DIV2K Loss: 0.025619160383939743
Epoch [64], Step [4/120], Patch [2/6], SIDD Loss: 0.00010561572707956657, DIV2K Loss: 0.017314491793513298
Epoch [64], Step [4/120], Patch [3/6], SIDD Loss: 8.812598389340565e-05, DIV2K Loss: 0.010268906131386757
Epoch [64], Step [4/120], Patch [4/6], SIDD Loss: 0.0001236225216416642, DIV2K Loss: 0.012349936179816723
Epoch [64], Step [4/120], Patch [5/6], SIDD Loss: 0.0001516018674010411, DIV2K Loss: 0.018896210938692093
Epoch [64], Step [4/120], Patch [6/6], SIDD Loss: 0.00011593996168812737, DIV2K Loss: 0.020435918122529984
Epoch [64], Step [5/120], Patch [1/6], SIDD Loss: 7.737859414191917e-05, DIV2K Loss: 0.005679679568856955
Epoch [64], Step [5/120], Patch [2/6], SIDD Loss: 0.00029009630088694394, DIV2K Loss: 0.002958793891593814
Epoch [64], Step [5/120], Patch [3/6], SIDD Loss: 9.560205216985196e-05, DIV2K Loss: 0.0011312919668853283
Epoch [64], Step [5/120], Patch [4/6], SIDD Loss: 0.00010252330685034394, DIV2K Loss: 0.010294909588992596
Epoch [64], Step [5/120], Patch [5/6], SIDD Loss: 0.0002377122873440385, DIV2K Loss: 0.005737137049436569
Epoch [64], Step [5/120], Patch [6/6], SIDD Loss: 9.197968756780028e-05, DIV2K Loss: 0.004484637174755335
Epoch [64], Step [6/120], Patch [1/6], SIDD Loss: 6.862492591608316e-05, DIV2K Loss: 0.015042729675769806
Epoch [64], Step [6/120], Patch [2/6], SIDD Loss: 9.906658669933677e-05, DIV2K Loss: 0.016432708129286766
Epoch [64], Step [6/120], Patch [3/6], SIDD Loss: 0.000202235794859007, DIV2K Loss: 0.010589828714728355
Epoch [64], Step [6/120], Patch [4/6], SIDD Loss: 0.00021194526925683022, DIV2K Loss: 0.021373581141233444
Epoch [64], Step [6/120], Patch [5/6], SIDD Loss: 0.0007469977135770023, DIV2K Loss: 0.015515412203967571
Epoch [64], Step [6/120], Patch [6/6], SIDD Loss: 7.368907972704619e-05, DIV2K Loss: 0.009294398128986359
Epoch [64], Step [7/120], Patch [1/9], SIDD Loss: 0.00011532467033248395, DIV2K Loss: 0.0031480013858526945
Epoch [64], Step [7/120], Patch [2/9], SIDD Loss: 0.00019242134294472635, DIV2K Loss: 0.0024068427737802267
Epoch [64], Step [7/120], Patch [3/9], SIDD Loss: 9.809247421799228e-05, DIV2K Loss: 0.0008044064743444324
Epoch [64], Step [7/120], Patch [4/9], SIDD Loss: 0.00016329750360455364, DIV2K Loss: 0.0075862533412873745
Epoch [64], Step [7/120], Patch [5/9], SIDD Loss: 0.0001328095095232129, DIV2K Loss: 0.004691148642450571
Epoch [64], Step [7/120], Patch [6/9], SIDD Loss: 0.0001456085592508316, DIV2K Loss: 0.0034005213528871536
Epoch [64], Step [7/120], Patch [7/9], SIDD Loss: 0.00014636841660831124, DIV2K Loss: 0.009993820451200008
Epoch [64], Step [7/120], Patch [8/9], SIDD Loss: 0.00013775790284853429, DIV2K Loss: 0.008554350584745407
Epoch [64], Step [7/120], Patch [9/9], SIDD Loss: 8.159194840118289e-05, DIV2K Loss: 0.006974999792873859
Epoch [64], Step [8/120], Patch [1/6], SIDD Loss: 0.0001446581445634365, DIV2K Loss: 0.0017305412329733372
Epoch [64], Step [8/120], Patch [2/6], SIDD Loss: 0.00018160609761253, DIV2K Loss: 0.0016822151374071836
Epoch [64], Step [8/120], Patch [3/6], SIDD Loss: 0.00017169397324323654, DIV2K Loss: 0.0017543549183756113
Epoch [64], Step [8/120], Patch [4/6], SIDD Loss: 0.00021315235062502325, DIV2K Loss: 0.0017030028393492103
Epoch [64], Step [8/120], Patch [5/6], SIDD Loss: 0.00012109006638638675, DIV2K Loss: 0.0014104250585660338
Epoch [64], Step [8/120], Patch [6/6], SIDD Loss: 0.00014092581113800406, DIV2K Loss: 0.002814448205754161
Epoch [64], Step [9/120], Patch [1/6], SIDD Loss: 7.826996443327516e-05, DIV2K Loss: 0.004366465378552675
Epoch [64], Step [9/120], Patch [2/6], SIDD Loss: 9.376417438033968e-05, DIV2K Loss: 0.00470771174877882
Epoch [64], Step [9/120], Patch [3/6], SIDD Loss: 9.294095070799813e-05, DIV2K Loss: 0.004387799184769392
