Epoch [59], Step [8/120], Patch [5/6], SIDD Loss: 6.012021185597405e-05, DIV2K Loss: 0.022994792088866234
Epoch [59], Step [8/120], Patch [6/6], SIDD Loss: 8.190317748812959e-05, DIV2K Loss: 0.010685369372367859
Epoch [59], Step [9/120], Patch [1/6], SIDD Loss: 0.0003494693082757294, DIV2K Loss: 0.00541093572974205
Epoch [59], Step [9/120], Patch [2/6], SIDD Loss: 0.0003290356253273785, DIV2K Loss: 0.008113733492791653
Epoch [59], Step [9/120], Patch [3/6], SIDD Loss: 0.0003982925263699144, DIV2K Loss: 0.006755111273378134
Epoch [59], Step [9/120], Patch [4/6], SIDD Loss: 0.0006539943860843778, DIV2K Loss: 0.010544173419475555
Epoch [59], Step [9/120], Patch [5/6], SIDD Loss: 0.0003490384842734784, DIV2K Loss: 0.01143421046435833
Epoch [59], Step [9/120], Patch [6/6], SIDD Loss: 0.00043896393617615104, DIV2K Loss: 0.00898942444473505
Epoch [59], Step [10/120], Patch [1/6], SIDD Loss: 7.649364124517888e-05, DIV2K Loss: 0.005068928934633732
Epoch [59], Step [10/120], Patch [2/6], SIDD Loss: 0.00012320208770688623, DIV2K Loss: 0.004633109550923109
Epoch [59], Step [10/120], Patch [3/6], SIDD Loss: 0.00010801475582411513, DIV2K Loss: 0.0062261782586574554
Epoch [59], Step [10/120], Patch [4/6], SIDD Loss: 0.00010024271614383906, DIV2K Loss: 0.005898549221456051
Epoch [59], Step [10/120], Patch [5/6], SIDD Loss: 7.672223728150129e-05, DIV2K Loss: 0.005104623734951019
Epoch [59], Step [10/120], Patch [6/6], SIDD Loss: 0.00011097389506176114, DIV2K Loss: 0.006677012424916029
Epoch [59], Step [11/120], Patch [1/6], SIDD Loss: 4.799041198566556e-05, DIV2K Loss: 0.00514813419431448
Epoch [59], Step [11/120], Patch [2/6], SIDD Loss: 5.193691322347149e-05, DIV2K Loss: 0.007982037961483002
Epoch [59], Step [11/120], Patch [3/6], SIDD Loss: 6.0728852986358106e-05, DIV2K Loss: 0.008302724920213223
Epoch [59], Step [11/120], Patch [4/6], SIDD Loss: 5.7580862630857155e-05, DIV2K Loss: 0.007943136617541313
Epoch [59], Step [11/120], Patch [5/6], SIDD Loss: 6.060569285182282e-05, DIV2K Loss: 0.015219094231724739
Epoch [59], Step [11/120], Patch [6/6], SIDD Loss: 4.52857930213213e-05, DIV2K Loss: 0.012030607089400291
Epoch [59], Step [12/120], Patch [1/6], SIDD Loss: 4.3744508730014786e-05, DIV2K Loss: 0.0019340476719662547
Epoch [59], Step [12/120], Patch [2/6], SIDD Loss: 5.649530794471502e-05, DIV2K Loss: 0.0024561239406466484
Epoch [59], Step [12/120], Patch [3/6], SIDD Loss: 5.865079219802283e-05, DIV2K Loss: 0.0033861789852380753
Epoch [59], Step [12/120], Patch [4/6], SIDD Loss: 6.53508905088529e-05, DIV2K Loss: 0.006675393786281347
Epoch [59], Step [12/120], Patch [5/6], SIDD Loss: 3.0790291930316016e-05, DIV2K Loss: 0.0065223174169659615
Epoch [59], Step [12/120], Patch [6/6], SIDD Loss: 4.1639243136160076e-05, DIV2K Loss: 0.005888780113309622
Epoch [59], Step [13/120], Patch [1/6], SIDD Loss: 0.00017346005188301206, DIV2K Loss: 0.0002885555732063949
Epoch [59], Step [13/120], Patch [2/6], SIDD Loss: 0.0004526328411884606, DIV2K Loss: 0.0002880652027670294
Epoch [59], Step [13/120], Patch [3/6], SIDD Loss: 0.00023118426906876266, DIV2K Loss: 0.0002464266726747155
Epoch [59], Step [13/120], Patch [4/6], SIDD Loss: 0.00015042198356240988, DIV2K Loss: 0.0003083312476519495
Epoch [59], Step [13/120], Patch [5/6], SIDD Loss: 0.00011939347314182669, DIV2K Loss: 0.0004695258103311062
Epoch [59], Step [13/120], Patch [6/6], SIDD Loss: 0.00013876648154109716, DIV2K Loss: 0.00041063790558837354
Epoch [59], Step [14/120], Patch [1/6], SIDD Loss: 7.112247112672776e-05, DIV2K Loss: 0.002730946522206068
Epoch [59], Step [14/120], Patch [2/6], SIDD Loss: 8.5144150943961e-05, DIV2K Loss: 0.0025401245802640915
Epoch [59], Step [14/120], Patch [3/6], SIDD Loss: 8.824341784929857e-05, DIV2K Loss: 0.00048028549645096064
Epoch [59], Step [14/120], Patch [4/6], SIDD Loss: 9.984990174416453e-05, DIV2K Loss: 0.0019043362699449062
Epoch [59], Step [14/120], Patch [5/6], SIDD Loss: 0.00012774356582667679, DIV2K Loss: 0.008163771592080593
Epoch [59], Step [14/120], Patch [6/6], SIDD Loss: 9.233634773408994e-05, DIV2K Loss: 0.011639095842838287
Epoch [59], Step [15/120], Patch [1/3], SIDD Loss: 0.0001499539939686656, DIV2K Loss: 0.00596226193010807
Epoch [59], Step [15/120], Patch [2/3], SIDD Loss: 0.00017152508371509612, DIV2K Loss: 0.006847779266536236
