Epoch [17], Step [1/160], Patch [1/35], Loss: 7.117704808479175e-05
Epoch [17], Step [1/160], Patch [2/35], Loss: 8.342089131474495e-05
Epoch [17], Step [1/160], Patch [3/35], Loss: 8.571852231398225e-05
Epoch [17], Step [1/160], Patch [4/35], Loss: 8.166935731424019e-05
Epoch [17], Step [1/160], Patch [5/35], Loss: 7.47639496694319e-05
Epoch [17], Step [1/160], Patch [6/35], Loss: 6.90561646479182e-05
Epoch [17], Step [1/160], Patch [7/35], Loss: 5.7380832004128024e-05
Epoch [17], Step [1/160], Patch [8/35], Loss: 0.000121892306196969
Epoch [17], Step [1/160], Patch [9/35], Loss: 7.367360376520082e-05
Epoch [17], Step [1/160], Patch [10/35], Loss: 8.287951641250402e-05
Epoch [17], Step [1/160], Patch [11/35], Loss: 9.501723980065435e-05
Epoch [17], Step [1/160], Patch [12/35], Loss: 8.815665205474943e-05
Epoch [17], Step [1/160], Patch [13/35], Loss: 8.100186823867261e-05
Epoch [17], Step [1/160], Patch [14/35], Loss: 7.513441960327327e-05
Epoch [17], Step [1/160], Patch [15/35], Loss: 0.00012115469871787354
Epoch [17], Step [1/160], Patch [16/35], Loss: 4.938026540912688e-05
Epoch [17], Step [1/160], Patch [17/35], Loss: 8.735239680390805e-05
Epoch [17], Step [1/160], Patch [18/35], Loss: 8.911028271541e-05
Epoch [17], Step [1/160], Patch [19/35], Loss: 6.29892383585684e-05
Epoch [17], Step [1/160], Patch [20/35], Loss: 6.212602602317929e-05
Epoch [17], Step [1/160], Patch [21/35], Loss: 6.133598071755841e-05
Epoch [17], Step [1/160], Patch [22/35], Loss: 7.984725380083546e-05
Epoch [17], Step [1/160], Patch [23/35], Loss: 4.392952178022824e-05
Epoch [17], Step [1/160], Patch [24/35], Loss: 7.7523582149297e-05
Epoch [17], Step [1/160], Patch [25/35], Loss: 7.081228250171989e-05
Epoch [17], Step [1/160], Patch [26/35], Loss: 4.580731547321193e-05
Epoch [17], Step [1/160], Patch [27/35], Loss: 4.44887118646875e-05
Epoch [17], Step [1/160], Patch [28/35], Loss: 4.930113209411502e-05
Epoch [17], Step [1/160], Patch [29/35], Loss: 6.410316564142704e-05
Epoch [17], Step [1/160], Patch [30/35], Loss: 4.430542321642861e-05
Epoch [17], Step [1/160], Patch [31/35], Loss: 4.8683941713534296e-05
Epoch [17], Step [1/160], Patch [32/35], Loss: 5.282993515720591e-05
Epoch [17], Step [1/160], Patch [33/35], Loss: 4.6267901780083776e-05
Epoch [17], Step [1/160], Patch [34/35], Loss: 4.5963221054989845e-05
Epoch [17], Step [1/160], Patch [35/35], Loss: 4.711036308435723e-05
Epoch [17], Step [2/160], Patch [1/35], Loss: 4.0619670471642166e-05
Epoch [17], Step [2/160], Patch [2/35], Loss: 3.670523437904194e-05
Epoch [17], Step [2/160], Patch [3/35], Loss: 3.6735560570377856e-05
Epoch [17], Step [2/160], Patch [4/35], Loss: 3.5749126254813746e-05
Epoch [17], Step [2/160], Patch [5/35], Loss: 3.574191214283928e-05
Epoch [17], Step [2/160], Patch [6/35], Loss: 3.67834436474368e-05
Epoch [17], Step [2/160], Patch [7/35], Loss: 4.2233521526213735e-05
Epoch [17], Step [2/160], Patch [8/35], Loss: 3.6472421925282106e-05
Epoch [17], Step [2/160], Patch [9/35], Loss: 2.9732309485552832e-05
Epoch [17], Step [2/160], Patch [10/35], Loss: 2.6392437575850636e-05
Epoch [17], Step [2/160], Patch [11/35], Loss: 2.6831276045413688e-05
Epoch [17], Step [2/160], Patch [12/35], Loss: 2.625854358484503e-05
Epoch [17], Step [2/160], Patch [13/35], Loss: 2.7975689590675756e-05
Epoch [17], Step [2/160], Patch [14/35], Loss: 2.9281331080710515e-05
Epoch [17], Step [2/160], Patch [15/35], Loss: 3.8448619307018816e-05
Epoch [17], Step [2/160], Patch [16/35], Loss: 3.0524402973242104e-05
Epoch [17], Step [2/160], Patch [17/35], Loss: 2.8659100280492567e-05
Epoch [17], Step [2/160], Patch [18/35], Loss: 2.688999484234955e-05
Epoch [17], Step [2/160], Patch [19/35], Loss: 3.0190276447683573e-05
Epoch [17], Step [2/160], Patch [20/35], Loss: 3.227528213756159e-05
Epoch [17], Step [2/160], Patch [21/35], Loss: 3.2090829336084425e-05
Epoch [17], Step [2/160], Patch [22/35], Loss: 3.8352427509380504e-05
Epoch [17], Step [2/160], Patch [23/35], Loss: 3.1031093385536224e-05
Epoch [17], Step [2/160], Patch [24/35], Loss: 4.6178261982277036e-05
Epoch [17], Step [2/160], Patch [25/35], Loss: 4.395632277010009e-05
Epoch [17], Step [2/160], Patch [26/35], Loss: 4.1132028854917735e-05
