Epoch [41], Step [1/800], Patch [1/6], Loss: 0.0021101536694914103
Epoch [41], Step [1/800], Patch [2/6], Loss: 0.0042920238338410854
Epoch [41], Step [1/800], Patch [3/6], Loss: 0.004648989997804165
Epoch [41], Step [1/800], Patch [4/6], Loss: 0.012627753429114819
Epoch [41], Step [1/800], Patch [5/6], Loss: 0.01064438745379448
Epoch [41], Step [1/800], Patch [6/6], Loss: 0.006192645989358425
Epoch [41], Step [2/800], Patch [1/6], Loss: 0.006349378731101751
Epoch [41], Step [2/800], Patch [2/6], Loss: 0.003689667908474803
Epoch [41], Step [2/800], Patch [3/6], Loss: 0.0025639464147388935
Epoch [41], Step [2/800], Patch [4/6], Loss: 0.011743052862584591
Epoch [41], Step [2/800], Patch [5/6], Loss: 0.011181795969605446
Epoch [41], Step [2/800], Patch [6/6], Loss: 0.00830286368727684
Epoch [41], Step [3/800], Patch [1/6], Loss: 0.004233017563819885
Epoch [41], Step [3/800], Patch [2/6], Loss: 0.005813421681523323
Epoch [41], Step [3/800], Patch [3/6], Loss: 0.005346456076949835
Epoch [41], Step [3/800], Patch [4/6], Loss: 0.009115159511566162
Epoch [41], Step [3/800], Patch [5/6], Loss: 0.005391281098127365
Epoch [41], Step [3/800], Patch [6/6], Loss: 0.006783841177821159
Epoch [41], Step [4/800], Patch [1/6], Loss: 0.010522475466132164
Epoch [41], Step [4/800], Patch [2/6], Loss: 0.013508724980056286
Epoch [41], Step [4/800], Patch [3/6], Loss: 0.014796461910009384
Epoch [41], Step [4/800], Patch [4/6], Loss: 0.013413973152637482
Epoch [41], Step [4/800], Patch [5/6], Loss: 0.014860210940241814
Epoch [41], Step [4/800], Patch [6/6], Loss: 0.015871763229370117
Epoch [41], Step [5/800], Patch [1/6], Loss: 0.009246794506907463
Epoch [41], Step [5/800], Patch [2/6], Loss: 0.007342285476624966
Epoch [41], Step [5/800], Patch [3/6], Loss: 0.001548353349789977
Epoch [41], Step [5/800], Patch [4/6], Loss: 0.017676543444395065
Epoch [41], Step [5/800], Patch [5/6], Loss: 0.028824349865317345
Epoch [41], Step [5/800], Patch [6/6], Loss: 0.018946586176753044
Epoch [41], Step [6/800], Patch [1/6], Loss: 0.0007044963422231376
Epoch [41], Step [6/800], Patch [2/6], Loss: 0.002220204332843423
Epoch [41], Step [6/800], Patch [3/6], Loss: 0.002088017761707306
Epoch [41], Step [6/800], Patch [4/6], Loss: 0.003850719891488552
Epoch [41], Step [6/800], Patch [5/6], Loss: 0.006303291767835617
Epoch [41], Step [6/800], Patch [6/6], Loss: 0.0045964885503053665
Epoch [41], Step [7/800], Patch [1/6], Loss: 0.011694520711898804
Epoch [41], Step [7/800], Patch [2/6], Loss: 0.014711817726492882
Epoch [41], Step [7/800], Patch [3/6], Loss: 0.03219220042228699
Epoch [41], Step [7/800], Patch [4/6], Loss: 0.032166287302970886
Epoch [41], Step [7/800], Patch [5/6], Loss: 0.016141682863235474
Epoch [41], Step [7/800], Patch [6/6], Loss: 0.03230825066566467
Epoch [41], Step [8/800], Patch [1/6], Loss: 0.0012166803935542703
Epoch [41], Step [8/800], Patch [2/6], Loss: 0.0025555656757205725
Epoch [41], Step [8/800], Patch [3/6], Loss: 0.0031796996481716633
Epoch [41], Step [8/800], Patch [4/6], Loss: 0.005910318344831467
Epoch [41], Step [8/800], Patch [5/6], Loss: 0.008670086041092873
Epoch [41], Step [8/800], Patch [6/6], Loss: 0.009792002849280834
Epoch [41], Step [9/800], Patch [1/6], Loss: 0.0045532360672950745
Epoch [41], Step [9/800], Patch [2/6], Loss: 0.00198694271966815
Epoch [41], Step [9/800], Patch [3/6], Loss: 0.001228209352120757
Epoch [41], Step [9/800], Patch [4/6], Loss: 0.009284628555178642
