Epoch [65], Step [1/120], Patch [1/6], SIDD Loss: 0.0005383279640227556, DIV2K Loss: 0.006158824544399977
Epoch [65], Step [1/120], Patch [2/6], SIDD Loss: 0.0010338735301047564, DIV2K Loss: 0.005948932841420174
Epoch [65], Step [1/120], Patch [3/6], SIDD Loss: 0.00047599675599485636, DIV2K Loss: 0.0058511532843112946
Epoch [65], Step [1/120], Patch [4/6], SIDD Loss: 0.0006182505749166012, DIV2K Loss: 0.006702811922878027
Epoch [65], Step [1/120], Patch [5/6], SIDD Loss: 0.0006338369566947222, DIV2K Loss: 0.006349555216729641
Epoch [65], Step [1/120], Patch [6/6], SIDD Loss: 0.0008761747158132493, DIV2K Loss: 0.007007545791566372
Epoch [65], Step [2/120], Patch [1/6], SIDD Loss: 7.292383088497445e-05, DIV2K Loss: 0.0019381397869437933
Epoch [65], Step [2/120], Patch [2/6], SIDD Loss: 5.848739965585992e-05, DIV2K Loss: 0.00044042011722922325
Epoch [65], Step [2/120], Patch [3/6], SIDD Loss: 4.597221777657978e-05, DIV2K Loss: 0.0005191712407395244
Epoch [65], Step [2/120], Patch [4/6], SIDD Loss: 4.561684181680903e-05, DIV2K Loss: 0.0042729126289486885
Epoch [65], Step [2/120], Patch [5/6], SIDD Loss: 4.345669731264934e-05, DIV2K Loss: 0.004395327530801296
Epoch [65], Step [2/120], Patch [6/6], SIDD Loss: 2.8906521038152277e-05, DIV2K Loss: 0.0033684391528367996
Epoch [65], Step [3/120], Patch [1/6], SIDD Loss: 6.091743125580251e-05, DIV2K Loss: 0.004965284373611212
Epoch [65], Step [3/120], Patch [2/6], SIDD Loss: 6.0574631788767874e-05, DIV2K Loss: 0.00215851585380733
Epoch [65], Step [3/120], Patch [3/6], SIDD Loss: 0.00010272272629663348, DIV2K Loss: 0.001272710389457643
Epoch [65], Step [3/120], Patch [4/6], SIDD Loss: 7.542014645878226e-05, DIV2K Loss: 0.01197669468820095
Epoch [65], Step [3/120], Patch [5/6], SIDD Loss: 7.004739018157125e-05, DIV2K Loss: 0.00643335422500968
Epoch [65], Step [3/120], Patch [6/6], SIDD Loss: 9.230177965946496e-05, DIV2K Loss: 0.005200242158025503
