Epoch [61], Step [1/120], Patch [1/3], SIDD Loss: 6.834843952674419e-05, DIV2K Loss: 0.006055915262550116
Epoch [61], Step [1/120], Patch [2/3], SIDD Loss: 0.00015187967801466584, DIV2K Loss: 0.00530296191573143
Epoch [61], Step [1/120], Patch [3/3], SIDD Loss: 7.552761235274374e-05, DIV2K Loss: 0.005888120736926794
Epoch [61], Step [2/120], Patch [1/6], SIDD Loss: 3.058767833863385e-05, DIV2K Loss: 0.002518071560189128
Epoch [61], Step [2/120], Patch [2/6], SIDD Loss: 4.296305633033626e-05, DIV2K Loss: 0.001683721668086946
Epoch [61], Step [2/120], Patch [3/6], SIDD Loss: 3.83463193429634e-05, DIV2K Loss: 0.0013934386661276221
Epoch [61], Step [2/120], Patch [4/6], SIDD Loss: 3.7902915209997445e-05, DIV2K Loss: 0.00792786106467247
Epoch [61], Step [2/120], Patch [5/6], SIDD Loss: 3.213644595234655e-05, DIV2K Loss: 0.007204773835837841
Epoch [61], Step [2/120], Patch [6/6], SIDD Loss: 2.7681457140715793e-05, DIV2K Loss: 0.008268989622592926
Epoch [61], Step [3/120], Patch [1/9], SIDD Loss: 5.234997297520749e-05, DIV2K Loss: 0.0027582920156419277
Epoch [61], Step [3/120], Patch [2/9], SIDD Loss: 5.224112464929931e-05, DIV2K Loss: 0.0026586116291582584
Epoch [61], Step [3/120], Patch [3/9], SIDD Loss: 6.005923205520958e-05, DIV2K Loss: 0.0026615485548973083
Epoch [61], Step [3/120], Patch [4/9], SIDD Loss: 0.00011781096691265702, DIV2K Loss: 0.002797834575176239
Epoch [61], Step [3/120], Patch [5/9], SIDD Loss: 9.27119399420917e-05, DIV2K Loss: 0.0017105130245909095
Epoch [61], Step [3/120], Patch [6/9], SIDD Loss: 7.33868801034987e-05, DIV2K Loss: 0.001511867856606841
Epoch [61], Step [3/120], Patch [7/9], SIDD Loss: 0.00013822276378050447, DIV2K Loss: 0.0025703946594148874
Epoch [61], Step [3/120], Patch [8/9], SIDD Loss: 0.00013511153520084918, DIV2K Loss: 0.0015903525054454803
Epoch [61], Step [3/120], Patch [9/9], SIDD Loss: 7.287479093065485e-05, DIV2K Loss: 0.0013102501397952437
Epoch [61], Step [4/120], Patch [1/6], SIDD Loss: 5.0427384849172086e-05, DIV2K Loss: 0.01370740495622158
Epoch [61], Step [4/120], Patch [2/6], SIDD Loss: 5.6537359341746196e-05, DIV2K Loss: 0.01594320312142372
Epoch [61], Step [4/120], Patch [3/6], SIDD Loss: 5.509808397619054e-05, DIV2K Loss: 0.015315970405936241
Epoch [61], Step [4/120], Patch [4/6], SIDD Loss: 4.099947545910254e-05, DIV2K Loss: 0.01246080081909895
Epoch [61], Step [4/120], Patch [5/6], SIDD Loss: 8.503049321006984e-05, DIV2K Loss: 0.015602733008563519
Epoch [61], Step [4/120], Patch [6/6], SIDD Loss: 6.67767453705892e-05, DIV2K Loss: 0.01396220363676548
Epoch [61], Step [5/120], Patch [1/6], SIDD Loss: 6.492998363683e-05, DIV2K Loss: 0.015397618524730206
Epoch [61], Step [5/120], Patch [2/6], SIDD Loss: 6.933019903954118e-05, DIV2K Loss: 0.012504508718848228
Epoch [61], Step [5/120], Patch [3/6], SIDD Loss: 5.1012844778597355e-05, DIV2K Loss: 0.01070296298712492
Epoch [61], Step [5/120], Patch [4/6], SIDD Loss: 3.704752816702239e-05, DIV2K Loss: 0.013405665755271912
Epoch [61], Step [5/120], Patch [5/6], SIDD Loss: 3.786779416259378e-05, DIV2K Loss: 0.012525967322289944
Epoch [61], Step [5/120], Patch [6/6], SIDD Loss: 3.8009729905752465e-05, DIV2K Loss: 0.011133103631436825
Epoch [61], Step [6/120], Patch [1/6], SIDD Loss: 0.00014798315532971174, DIV2K Loss: 0.016036950051784515
Epoch [61], Step [6/120], Patch [2/6], SIDD Loss: 9.228759881807491e-05, DIV2K Loss: 0.015409129671752453
Epoch [61], Step [6/120], Patch [3/6], SIDD Loss: 5.326056998455897e-05, DIV2K Loss: 0.012916535139083862
Epoch [61], Step [6/120], Patch [4/6], SIDD Loss: 8.678621816216037e-05, DIV2K Loss: 0.003810664638876915
Epoch [61], Step [6/120], Patch [5/6], SIDD Loss: 8.15676394267939e-05, DIV2K Loss: 0.009037450887262821
Epoch [61], Step [6/120], Patch [6/6], SIDD Loss: 0.00010110001312568784, DIV2K Loss: 0.01182328350841999
Epoch [61], Step [7/120], Patch [1/9], SIDD Loss: 0.00018119532614946365, DIV2K Loss: 0.007725825067609549
Epoch [61], Step [7/120], Patch [2/9], SIDD Loss: 0.0005518513498827815, DIV2K Loss: 0.007251855917274952
Epoch [61], Step [7/120], Patch [3/9], SIDD Loss: 0.0001618412643438205, DIV2K Loss: 0.006584322080016136
Epoch [61], Step [7/120], Patch [4/9], SIDD Loss: 0.00015062576858326793, DIV2K Loss: 0.009125645272433758
Epoch [61], Step [7/120], Patch [5/9], SIDD Loss: 0.00014602846931666136, DIV2K Loss: 0.009970884770154953
Epoch [61], Step [7/120], Patch [6/9], SIDD Loss: 0.0002373164752498269, DIV2K Loss: 0.008679050952196121
Epoch [61], Step [7/120], Patch [7/9], SIDD Loss: 0.00014656854909844697, DIV2K Loss: 0.009515579789876938
Epoch [61], Step [7/120], Patch [8/9], SIDD Loss: 0.00015037183766253293, DIV2K Loss: 0.00950041227042675
Epoch [61], Step [7/120], Patch [9/9], SIDD Loss: 0.00015806261217221618, DIV2K Loss: 0.00839102454483509
Epoch [61], Step [8/120], Patch [1/6], SIDD Loss: 0.00026145504671148956, DIV2K Loss: 0.007660939358174801
Epoch [61], Step [8/120], Patch [2/6], SIDD Loss: 0.00033160275779664516, DIV2K Loss: 0.007037611212581396
