Epoch [60], Step [1/120], Patch [1/6], SIDD Loss: 7.662326243007556e-05, DIV2K Loss: 0.010372016578912735
Epoch [60], Step [1/120], Patch [2/6], SIDD Loss: 8.063734276220202e-05, DIV2K Loss: 0.01232835091650486
Epoch [60], Step [1/120], Patch [3/6], SIDD Loss: 5.7254463172284886e-05, DIV2K Loss: 0.007257291115820408
Epoch [60], Step [1/120], Patch [4/6], SIDD Loss: 6.256779306568205e-05, DIV2K Loss: 0.009107187390327454
Epoch [60], Step [1/120], Patch [5/6], SIDD Loss: 7.479044143110514e-05, DIV2K Loss: 0.006231252104043961
Epoch [60], Step [1/120], Patch [6/6], SIDD Loss: 8.071318006841466e-05, DIV2K Loss: 0.007851921021938324
Epoch [60], Step [2/120], Patch [1/6], SIDD Loss: 3.024613397428766e-05, DIV2K Loss: 0.00902373343706131
Epoch [60], Step [2/120], Patch [2/6], SIDD Loss: 2.472649430274032e-05, DIV2K Loss: 0.019008155912160873
Epoch [60], Step [2/120], Patch [3/6], SIDD Loss: 4.2908170144073665e-05, DIV2K Loss: 0.013198167085647583
Epoch [60], Step [2/120], Patch [4/6], SIDD Loss: 3.208699490642175e-05, DIV2K Loss: 0.01805582456290722
Epoch [60], Step [2/120], Patch [5/6], SIDD Loss: 0.0002070925838779658, DIV2K Loss: 0.020346155390143394
Epoch [60], Step [2/120], Patch [6/6], SIDD Loss: 4.8681125917937607e-05, DIV2K Loss: 0.019405847415328026
Epoch [60], Step [3/120], Patch [1/6], SIDD Loss: 0.00043491512769833207, DIV2K Loss: 0.0012487433850765228
Epoch [60], Step [3/120], Patch [2/6], SIDD Loss: 0.0005126650212332606, DIV2K Loss: 0.002669306006282568
Epoch [60], Step [3/120], Patch [3/6], SIDD Loss: 0.00039670171099714935, DIV2K Loss: 0.003226573346182704
Epoch [60], Step [3/120], Patch [4/6], SIDD Loss: 0.00038920273073017597, DIV2K Loss: 0.003097155597060919
Epoch [60], Step [3/120], Patch [5/6], SIDD Loss: 0.0005288285901769996, DIV2K Loss: 0.005839154124259949
Epoch [60], Step [3/120], Patch [6/6], SIDD Loss: 0.000566576374694705, DIV2K Loss: 0.002385239815339446
Epoch [60], Step [4/120], Patch [1/6], SIDD Loss: 0.0001436126185581088, DIV2K Loss: 0.016276586800813675
Epoch [60], Step [4/120], Patch [2/6], SIDD Loss: 0.00011803008237620816, DIV2K Loss: 0.013212492689490318
Epoch [60], Step [4/120], Patch [3/6], SIDD Loss: 9.093897824641317e-05, DIV2K Loss: 0.011191040277481079
Epoch [60], Step [4/120], Patch [4/6], SIDD Loss: 8.172119123628363e-05, DIV2K Loss: 0.008836530148983002
Epoch [60], Step [4/120], Patch [5/6], SIDD Loss: 0.00013701066200155765, DIV2K Loss: 0.010731382295489311
Epoch [60], Step [4/120], Patch [6/6], SIDD Loss: 9.058455907506868e-05, DIV2K Loss: 0.008672591298818588
Epoch [60], Step [5/120], Patch [1/6], SIDD Loss: 9.859800047706813e-05, DIV2K Loss: 0.0005534269730560482
Epoch [60], Step [5/120], Patch [2/6], SIDD Loss: 9.893034439301118e-05, DIV2K Loss: 0.0005390164442360401
Epoch [60], Step [5/120], Patch [3/6], SIDD Loss: 0.00027386992587707937, DIV2K Loss: 0.0013471220154315233
Epoch [60], Step [5/120], Patch [4/6], SIDD Loss: 0.00014160817954689264, DIV2K Loss: 0.001036376692354679
Epoch [60], Step [5/120], Patch [5/6], SIDD Loss: 0.00010761975136119872, DIV2K Loss: 0.0023778886534273624
Epoch [60], Step [5/120], Patch [6/6], SIDD Loss: 7.529134018113837e-05, DIV2K Loss: 0.0018964344635605812
Epoch [60], Step [6/120], Patch [1/6], SIDD Loss: 4.2486117308726534e-05, DIV2K Loss: 0.0025335722602903843
Epoch [60], Step [6/120], Patch [2/6], SIDD Loss: 7.89239420555532e-05, DIV2K Loss: 0.0049758050590753555
Epoch [60], Step [6/120], Patch [3/6], SIDD Loss: 0.00023068510927259922, DIV2K Loss: 0.006060925778001547
Epoch [60], Step [6/120], Patch [4/6], SIDD Loss: 6.114752613939345e-05, DIV2K Loss: 0.010299809277057648
Epoch [60], Step [6/120], Patch [5/6], SIDD Loss: 7.10194290149957e-05, DIV2K Loss: 0.010611629113554955
Epoch [60], Step [6/120], Patch [6/6], SIDD Loss: 3.971698970417492e-05, DIV2K Loss: 0.010313062928617
