Epoch [62], Step [1/120], Patch [1/6], SIDD Loss: 8.53477613418363e-05, DIV2K Loss: 0.0028957142494618893
Epoch [62], Step [1/120], Patch [2/6], SIDD Loss: 9.743676491780207e-05, DIV2K Loss: 0.005350667983293533
Epoch [62], Step [1/120], Patch [3/6], SIDD Loss: 0.00010550233855610713, DIV2K Loss: 0.00566855538636446
Epoch [62], Step [1/120], Patch [4/6], SIDD Loss: 0.00013475984451361, DIV2K Loss: 0.004279021173715591
Epoch [62], Step [1/120], Patch [5/6], SIDD Loss: 0.00011822272790595889, DIV2K Loss: 0.009189982898533344
Epoch [62], Step [1/120], Patch [6/6], SIDD Loss: 7.741827721474692e-05, DIV2K Loss: 0.0074280062690377235
Epoch [62], Step [2/120], Patch [1/9], SIDD Loss: 0.000147241196827963, DIV2K Loss: 0.008943204768002033
Epoch [62], Step [2/120], Patch [2/9], SIDD Loss: 9.571373084327206e-05, DIV2K Loss: 0.009429441764950752
Epoch [62], Step [2/120], Patch [3/9], SIDD Loss: 0.0001066236145561561, DIV2K Loss: 0.007928639650344849
Epoch [62], Step [2/120], Patch [4/9], SIDD Loss: 9.818992111831903e-05, DIV2K Loss: 0.008486506529152393
Epoch [62], Step [2/120], Patch [5/9], SIDD Loss: 9.702883835416287e-05, DIV2K Loss: 0.006132233422249556
Epoch [62], Step [2/120], Patch [6/9], SIDD Loss: 0.00011601734149735421, DIV2K Loss: 0.006693974137306213
Epoch [62], Step [2/120], Patch [7/9], SIDD Loss: 0.0001879384508356452, DIV2K Loss: 0.007766507565975189
Epoch [62], Step [2/120], Patch [8/9], SIDD Loss: 0.00010009630932472646, DIV2K Loss: 0.003825337626039982
Epoch [62], Step [2/120], Patch [9/9], SIDD Loss: 9.561378828948364e-05, DIV2K Loss: 0.0030484450981020927
Epoch [62], Step [3/120], Patch [1/6], SIDD Loss: 0.00014199668657965958, DIV2K Loss: 0.012790439650416374
Epoch [62], Step [3/120], Patch [2/6], SIDD Loss: 0.00013429473619908094, DIV2K Loss: 0.016646571457386017
Epoch [62], Step [3/120], Patch [3/6], SIDD Loss: 8.43789748614654e-05, DIV2K Loss: 0.015572412870824337
Epoch [62], Step [3/120], Patch [4/6], SIDD Loss: 9.54162678681314e-05, DIV2K Loss: 0.01310732215642929
Epoch [62], Step [3/120], Patch [5/6], SIDD Loss: 0.0001255114038940519, DIV2K Loss: 0.015622435137629509
Epoch [62], Step [3/120], Patch [6/6], SIDD Loss: 8.730222180020064e-05, DIV2K Loss: 0.014189171604812145
Epoch [62], Step [4/120], Patch [1/6], SIDD Loss: 0.00017631129594519734, DIV2K Loss: 0.006128750741481781
Epoch [62], Step [4/120], Patch [2/6], SIDD Loss: 9.685743134468794e-05, DIV2K Loss: 0.008070866577327251
Epoch [62], Step [4/120], Patch [3/6], SIDD Loss: 5.697869346477091e-05, DIV2K Loss: 0.004408962558954954
Epoch [62], Step [4/120], Patch [4/6], SIDD Loss: 8.172201341949403e-05, DIV2K Loss: 0.008578956127166748
Epoch [62], Step [4/120], Patch [5/6], SIDD Loss: 0.00017568515613675117, DIV2K Loss: 0.006267920136451721
Epoch [62], Step [4/120], Patch [6/6], SIDD Loss: 0.0001075140608008951, DIV2K Loss: 0.003795003052800894
Epoch [62], Step [5/120], Patch [1/9], SIDD Loss: 0.0001091310623451136, DIV2K Loss: 0.009436707943677902
Epoch [62], Step [5/120], Patch [2/9], SIDD Loss: 0.00017519891844131052, DIV2K Loss: 0.009028655476868153
Epoch [62], Step [5/120], Patch [3/9], SIDD Loss: 0.00016213569324463606, DIV2K Loss: 0.008332449942827225
Epoch [62], Step [5/120], Patch [4/9], SIDD Loss: 9.984585631173104e-05, DIV2K Loss: 0.010839877650141716
Epoch [62], Step [5/120], Patch [5/9], SIDD Loss: 8.064587746048346e-05, DIV2K Loss: 0.012140664272010326
Epoch [62], Step [5/120], Patch [6/9], SIDD Loss: 7.137285865610465e-05, DIV2K Loss: 0.009964861907064915
Epoch [62], Step [5/120], Patch [7/9], SIDD Loss: 0.0003624529344961047, DIV2K Loss: 0.011522840708494186
