Epoch [36], Step [1/800], Patch [1/6], Loss: 0.0256133284419775
Epoch [36], Step [1/800], Patch [2/6], Loss: 0.025755753740668297
Epoch [36], Step [1/800], Patch [3/6], Loss: 0.025619864463806152
Epoch [36], Step [1/800], Patch [4/6], Loss: 0.02069878578186035
Epoch [36], Step [1/800], Patch [5/6], Loss: 0.029675614088773727
Epoch [36], Step [1/800], Patch [6/6], Loss: 0.02927378937602043
Epoch [36], Step [2/800], Patch [1/9], Loss: 0.015428475104272366
Epoch [36], Step [2/800], Patch [2/9], Loss: 0.028236623853445053
Epoch [36], Step [2/800], Patch [3/9], Loss: 0.028387755155563354
Epoch [36], Step [2/800], Patch [4/9], Loss: 0.016080981120467186
Epoch [36], Step [2/800], Patch [5/9], Loss: 0.022748028859496117
Epoch [36], Step [2/800], Patch [6/9], Loss: 0.022696902975440025
Epoch [36], Step [2/800], Patch [7/9], Loss: 0.015616814605891705
Epoch [36], Step [2/800], Patch [8/9], Loss: 0.01475403644144535
Epoch [36], Step [2/800], Patch [9/9], Loss: 0.013165799900889397
Epoch [36], Step [3/800], Patch [1/6], Loss: 0.009650367312133312
Epoch [36], Step [3/800], Patch [2/6], Loss: 0.009854668751358986
Epoch [36], Step [3/800], Patch [3/6], Loss: 0.00885293260216713
Epoch [36], Step [3/800], Patch [4/6], Loss: 0.0068036532029509544
Epoch [36], Step [3/800], Patch [5/6], Loss: 0.007542057894170284
Epoch [36], Step [3/800], Patch [6/6], Loss: 0.0060945721343159676
Epoch [36], Step [4/800], Patch [1/9], Loss: 0.01591641828417778
Epoch [36], Step [4/800], Patch [2/9], Loss: 0.013556083664298058
Epoch [36], Step [4/800], Patch [3/9], Loss: 0.016994282603263855
Epoch [36], Step [4/800], Patch [4/9], Loss: 0.012668728828430176
Epoch [36], Step [4/800], Patch [5/9], Loss: 0.007693827152252197
Epoch [36], Step [4/800], Patch [6/9], Loss: 0.018285032361745834
Epoch [36], Step [4/800], Patch [7/9], Loss: 0.015711715444922447
Epoch [36], Step [4/800], Patch [8/9], Loss: 0.009505234658718109
Epoch [36], Step [4/800], Patch [9/9], Loss: 0.02434135600924492
Epoch [36], Step [5/800], Patch [1/6], Loss: 0.004272006452083588
Epoch [36], Step [5/800], Patch [2/6], Loss: 0.004789384081959724
Epoch [36], Step [5/800], Patch [3/6], Loss: 0.004867796320468187
Epoch [36], Step [5/800], Patch [4/6], Loss: 0.008276032283902168
Epoch [36], Step [5/800], Patch [5/6], Loss: 0.013771514408290386
Epoch [36], Step [5/800], Patch [6/6], Loss: 0.015546261332929134
Epoch [36], Step [6/800], Patch [1/6], Loss: 0.007680293172597885
