Epoch [63], Step [1/120], Patch [1/6], SIDD Loss: 9.150229016086087e-05, DIV2K Loss: 0.0019696250092238188
Epoch [63], Step [1/120], Patch [2/6], SIDD Loss: 0.0001189362010336481, DIV2K Loss: 0.0008027448202483356
Epoch [63], Step [1/120], Patch [3/6], SIDD Loss: 9.832527575781569e-05, DIV2K Loss: 0.0015343292616307735
Epoch [63], Step [1/120], Patch [4/6], SIDD Loss: 0.00018585126963444054, DIV2K Loss: 0.000996614107862115
Epoch [63], Step [1/120], Patch [5/6], SIDD Loss: 8.336575410794467e-05, DIV2K Loss: 0.0010445760563015938
Epoch [63], Step [1/120], Patch [6/6], SIDD Loss: 0.00011074969370383769, DIV2K Loss: 0.0016612637555226684
Epoch [63], Step [2/120], Patch [1/6], SIDD Loss: 0.0005322282668203115, DIV2K Loss: 0.004541959147900343
Epoch [63], Step [2/120], Patch [2/6], SIDD Loss: 0.00030541964224539697, DIV2K Loss: 0.0039684223011136055
Epoch [63], Step [2/120], Patch [3/6], SIDD Loss: 0.0001798418816179037, DIV2K Loss: 0.0037009376101195812
Epoch [63], Step [2/120], Patch [4/6], SIDD Loss: 0.00011478981468826532, DIV2K Loss: 0.005033336114138365
Epoch [63], Step [2/120], Patch [5/6], SIDD Loss: 0.0005099931149743497, DIV2K Loss: 0.0038753561675548553
Epoch [63], Step [2/120], Patch [6/6], SIDD Loss: 0.00011595038085943088, DIV2K Loss: 0.0037867703940719366
Epoch [63], Step [3/120], Patch [1/6], SIDD Loss: 0.00031715864315629005, DIV2K Loss: 0.012385904788970947
Epoch [63], Step [3/120], Patch [2/6], SIDD Loss: 0.00028896675212308764, DIV2K Loss: 0.015178404748439789
Epoch [63], Step [3/120], Patch [3/6], SIDD Loss: 0.0002264082431793213, DIV2K Loss: 0.009086307138204575
Epoch [63], Step [3/120], Patch [4/6], SIDD Loss: 0.00010495210153749213, DIV2K Loss: 0.011177761480212212
Epoch [63], Step [3/120], Patch [5/6], SIDD Loss: 8.636618440505117e-05, DIV2K Loss: 0.007484494708478451
Epoch [63], Step [3/120], Patch [6/6], SIDD Loss: 9.658090129960328e-05, DIV2K Loss: 0.009386352263391018
Epoch [63], Step [4/120], Patch [1/6], SIDD Loss: 0.00010343177564209327, DIV2K Loss: 0.006958443205803633
Epoch [63], Step [4/120], Patch [2/6], SIDD Loss: 5.763525405200198e-05, DIV2K Loss: 0.010545192286372185
